Object Tracking Data File Wed, Oct 16, 2019 10:24 AM
X (pixels)  	Y (pixels)  
541.29	316.24
541.51	316.08
541.24	316.17
541.30	316.01
541.59	315.86
541.47	315.89
541.47	316.03
541.47	315.62
541.49	315.30
541.37	315.95
541.47	316.01
541.37	316.22
541.31	315.92
541.69	315.92
541.30	316.01
541.56	315.74
541.34	316.09
541.43	316.12
541.28	315.55
541.68	315.86
541.43	315.89
541.10	315.79
541.76	315.58
541.56	315.90
541.35	315.95
541.43	315.65
541.11	315.86
541.42	315.84
541.61	315.78
541.33	315.80
541.36	315.65
541.34	315.71
541.10	315.51
541.56	315.34
541.33	316.05
541.26	315.52
541.43	315.74
541.18	315.78
541.26	315.63
541.28	315.67
541.47	315.33
541.24	315.77
541.54	315.96
541.72	315.90
541.48	315.77
541.03	315.68
541.40	315.36
541.09	315.41
541.15	315.50
541.29	315.40
541.26	315.54
541.11	315.82
541.13	315.74
541.28	315.51
541.44	315.11
541.33	315.87
541.14	315.43
541.43	315.19
541.25	315.58
541.20	314.87
541.81	315.41
541.35	315.47
541.39	314.97
541.06	315.59
541.37	315.86
541.20	315.52
541.45	315.15
541.38	315.48
541.69	315.70
541.56	315.56
541.36	315.39
541.67	315.71
541.18	315.72
541.22	315.15
540.98	315.50
541.47	315.38
541.17	315.37
541.30	315.41
541.08	315.14
541.47	315.14
541.13	315.20
541.81	315.49
541.47	315.06
541.30	315.45
541.33	315.59
541.10	315.69
541.22	315.57
541.28	315.38
540.94	315.18
540.89	315.42
541.79	315.15
541.10	315.38
540.97	315.47
541.17	315.49
541.19	315.55
541.05	315.02
541.48	315.17
541.11	315.03
541.29	315.42
541.19	315.04
541.64	315.40
541.37	314.94
541.51	315.40
541.21	315.37
541.25	315.23
541.18	315.55
541.28	314.78
541.19	314.64
541.36	315.52
541.22	315.29
541.04	315.56
541.15	315.15
541.38	315.36
541.46	314.47
541.71	315.24
541.44	315.01
541.75	315.11
541.71	315.21
541.33	315.33
541.38	315.22
