Object Tracking Data File Wed, Oct 16, 2019 10:27 AM
X (pixels)  	Y (pixels)  
583.59	564.58
583.75	564.10
584.07	564.70
584.55	564.38
583.70	564.60
583.89	564.40
583.73	563.94
584.36	564.37
583.73	563.95
584.03	564.25
583.67	564.25
583.89	564.29
584.29	564.34
583.49	564.24
584.12	564.11
583.64	564.38
584.36	564.66
584.02	564.02
583.78	564.00
583.79	564.19
583.77	564.21
584.00	564.33
583.92	564.34
584.14	564.20
584.36	564.21
583.94	563.97
583.89	564.02
583.96	563.59
583.57	564.29
584.00	564.28
583.74	564.24
583.91	564.20
583.98	564.18
583.76	564.04
583.58	564.14
583.77	564.00
584.77	563.64
584.04	563.53
584.05	563.77
584.09	563.51
583.85	564.19
583.86	563.84
583.50	563.93
0.00	0.00
583.74	564.14
0.00	0.00
583.75	564.00
0.00	0.00
0.00	0.00
583.21	564.00
0.00	0.00
0.00	0.00
583.58	564.30
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
584.00	563.61
0.00	0.00
583.17	563.79
0.00	0.00
0.00	0.00
583.36	563.80
583.92	564.02
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
584.32	563.70
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
583.49	563.80
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
583.88	563.49
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
583.62	563.53
0.00	0.00
0.00	0.00
583.68	563.85
583.61	563.59
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
