Object Tracking Data File Wed, Oct 16, 2019 10:38 AM
X (pixels)  	Y (pixels)  
642.88	291.84
642.75	289.94
636.25	285.44
637.76	285.65
631.69	288.09
631.63	292.30
625.75	290.30
630.47	289.39
631.71	284.91
626.71	288.26
626.55	288.61
626.30	278.10
631.02	279.52
634.63	278.72
634.22	273.57
624.28	268.49
629.66	272.47
630.97	268.56
631.00	263.24
633.15	265.77
633.39	266.70
636.80	268.54
635.29	262.61
632.77	264.28
637.51	261.64
645.30	256.55
648.55	257.76
641.49	256.93
640.78	254.63
641.19	256.32
635.41	257.85
640.18	257.49
641.59	256.74
641.09	254.27
639.97	256.21
638.99	259.04
636.57	259.57
642.07	257.86
641.37	259.74
639.06	259.17
638.92	254.02
638.53	250.98
645.73	252.83
642.81	253.48
644.81	248.67
635.65	246.65
633.65	240.28
629.36	245.30
629.32	244.50
628.84	241.78
624.01	239.47
623.34	237.28
623.10	234.95
625.89	236.76
623.91	229.33
627.33	226.94
623.87	219.44
622.43	213.04
623.27	208.15
621.51	213.28
614.25	212.24
607.78	207.59
605.87	201.39
609.36	202.06
612.26	200.59
615.99	202.31
627.44	216.74
629.58	215.69
622.26	208.58
626.47	214.05
626.29	212.94
625.77	211.68
619.33	213.90
621.46	211.73
616.75	215.22
610.87	223.06
609.25	220.25
613.93	227.70
608.24	216.14
608.39	213.40
609.39	217.33
616.96	214.18
611.23	220.56
617.66	224.39
617.88	233.68
617.08	237.22
621.33	238.26
618.41	236.50
621.12	234.47
620.33	233.21
611.90	238.12
616.64	237.16
613.59	234.19
616.60	228.71
617.89	226.67
619.97	220.66
613.98	221.31
620.97	217.71
628.47	217.97
626.88	217.25
626.45	213.16
623.98	217.42
626.79	215.84
623.32	221.79
626.92	223.11
631.67	228.98
630.05	230.67
631.28	230.33
633.48	226.15
636.04	224.39
641.11	221.38
641.49	218.16
643.01	217.77
639.92	222.39
646.27	217.77
641.26	221.79
639.75	218.19
640.07	212.81
641.40	212.50
645.45	210.61
