Object Tracking Data File Wed, Oct 16, 2019 10:37 AM
X (pixels)  	Y (pixels)  
857.45	116.84
853.33	115.16
848.56	109.25
848.96	109.03
850.01	103.86
847.54	105.43
844.95	109.56
847.45	100.90
852.52	106.27
844.18	108.72
842.77	110.10
843.70	103.27
850.21	97.87
855.76	96.99
856.17	96.71
857.56	99.81
857.34	100.05
861.14	94.85
863.89	94.35
867.30	95.02
860.15	94.67
861.46	83.26
852.79	82.78
852.33	86.69
850.36	77.48
853.80	74.66
856.67	75.11
855.77	68.80
854.65	58.09
849.64	56.39
851.06	57.99
849.50	52.25
852.39	49.87
851.79	53.70
848.07	51.58
854.54	47.42
850.58	50.45
853.56	53.92
853.78	57.48
857.08	66.74
852.82	58.68
849.72	60.21
848.59	62.65
846.30	64.45
849.42	65.97
848.95	66.16
841.58	67.45
844.23	69.11
848.43	68.49
848.66	75.69
853.04	74.41
850.56	69.97
849.00	70.99
851.63	70.31
847.08	67.40
842.06	69.83
839.38	61.50
835.14	55.93
835.90	46.56
838.76	44.73
835.88	40.16
832.32	43.39
839.98	46.03
840.51	47.71
839.04	52.95
841.80	48.58
842.57	46.63
836.23	45.15
838.01	42.91
837.26	46.59
836.55	51.69
838.30	49.93
841.68	35.26
841.90	32.48
844.68	34.34
848.29	32.46
850.11	29.11
853.90	37.82
850.46	25.98
850.72	29.43
850.99	38.16
847.53	43.88
849.68	44.53
846.19	44.61
844.64	46.88
849.85	43.14
851.18	38.89
853.21	40.52
854.70	37.26
848.47	33.14
848.92	24.16
850.77	31.26
847.67	28.12
843.80	25.06
847.67	22.73
845.07	20.38
849.80	17.69
851.86	21.10
849.37	25.50
849.38	27.92
848.79	25.08
855.35	22.71
846.70	20.18
840.42	19.51
838.58	17.20
836.78	19.63
836.91	22.55
829.85	21.49
828.50	23.77
832.12	26.20
832.33	28.63
825.48	25.86
827.83	21.74
829.16	15.31
827.83	5.74
823.43	7.09
824.34	7.12
825.65	6.04
824.87	4.67
825.99	5.29
