Object Tracking Data File Wed, Oct 02, 2019 11:03 AM
X (pixels)  	Y (pixels)  
388.11	482.59
388.33	483.29
388.09	482.93
388.24	482.93
388.18	483.00
388.01	483.24
388.28	483.12
388.18	483.19
387.82	482.96
388.22	483.21
388.38	483.24
388.20	482.84
388.24	483.23
388.52	482.95
388.35	483.10
388.59	482.96
388.64	482.93
388.67	482.74
388.75	482.85
388.98	482.78
388.48	483.09
388.67	482.24
388.51	482.58
388.49	482.57
388.35	482.35
388.55	482.57
388.78	482.34
388.27	482.34
388.55	482.46
388.46	482.57
388.81	482.27
388.53	482.10
388.38	483.11
388.67	482.72
388.38	482.89
388.46	482.74
388.48	482.57
388.57	482.77
388.39	482.76
388.56	482.69
388.65	482.28
388.48	482.42
388.62	482.49
388.56	482.31
388.61	482.50
388.53	482.91
388.30	482.62
388.64	482.77
388.62	483.08
388.55	482.78
388.62	482.54
388.34	482.35
388.52	482.44
388.60	482.32
388.64	482.77
388.68	482.72
388.69	482.74
388.74	482.78
388.70	482.56
388.35	482.69
388.36	482.48
388.67	482.68
388.45	482.68
388.48	482.62
388.36	482.98
388.29	482.36
388.49	482.18
388.18	482.41
388.32	482.41
388.31	482.71
388.39	482.36
388.33	482.86
388.39	482.52
388.50	482.51
388.38	482.11
388.48	482.01
388.31	482.35
388.34	481.94
388.31	481.86
388.43	482.26
388.31	482.38
388.39	482.14
388.42	482.32
388.62	482.23
388.27	482.64
388.33	482.61
388.29	482.14
388.37	482.24
388.32	482.38
388.39	482.37
388.39	482.06
388.36	482.33
388.65	482.19
388.54	482.07
388.48	482.03
388.33	482.40
388.44	482.50
388.42	482.35
388.80	482.50
388.48	482.34
388.49	482.25
388.31	482.10
388.42	482.26
388.54	482.12
388.42	482.23
388.41	481.84
388.54	482.16
388.22	481.85
388.33	481.94
388.65	482.00
388.64	482.12
388.44	482.10
388.59	481.96
388.55	481.86
388.45	482.30
388.54	482.08
388.42	482.14
388.22	482.48
388.54	482.12
388.22	482.42
