Object Tracking Data File Wed, Oct 02, 2019 11:06 AM
X (pixels)  	Y (pixels)  
665.65	115.50
665.69	116.05
665.64	115.66
665.93	116.08
665.86	115.90
665.71	116.07
665.98	116.38
665.74	116.06
665.89	115.84
665.85	115.78
665.95	115.86
665.87	115.57
665.71	115.78
666.18	115.90
666.21	115.93
665.94	115.72
666.08	115.86
666.25	115.60
666.33	115.94
666.22	115.62
666.08	115.75
666.07	115.35
666.32	114.92
666.10	114.61
666.23	115.47
666.17	115.60
665.94	115.28
666.07	114.77
666.04	115.44
666.07	115.16
666.00	115.22
665.85	115.19
665.98	116.20
666.17	115.67
665.66	115.15
666.18	115.72
665.89	115.64
666.22	115.58
666.26	115.48
666.09	115.77
666.17	115.34
666.05	115.32
666.09	115.54
665.91	114.93
666.16	115.30
665.91	115.20
666.25	115.71
665.89	115.72
666.16	115.54
666.06	115.61
665.94	115.39
666.02	114.89
666.21	115.13
666.00	115.38
666.05	115.30
666.13	115.52
666.09	115.64
666.18	115.57
665.93	115.55
666.20	115.64
665.64	115.43
665.95	115.40
666.16	115.89
666.06	115.65
665.83	115.43
666.05	115.55
665.98	115.27
665.92	115.47
665.93	115.12
665.97	115.51
665.86	115.14
666.18	115.60
665.80	115.16
665.90	115.22
666.12	115.34
666.17	114.96
666.05	114.87
666.03	114.32
666.14	114.91
666.19	115.53
665.90	115.25
665.89	115.13
666.05	115.07
665.90	115.36
665.85	114.90
665.77	114.78
665.88	114.82
666.03	115.10
665.98	115.22
666.03	115.30
666.20	115.08
666.20	115.06
666.19	114.92
665.83	114.55
665.84	114.68
666.19	115.26
666.03	115.06
666.36	115.12
666.05	114.94
666.13	115.05
666.00	114.91
665.72	114.82
665.96	115.14
665.93	114.70
666.00	114.91
665.76	114.68
666.05	114.69
665.86	114.85
666.04	114.87
666.05	114.78
665.95	115.09
665.90	114.50
666.03	114.62
665.88	114.64
666.17	114.83
665.91	115.16
665.87	115.11
665.85	114.88
665.75	115.41
666.06	115.01
