Object Tracking Data File Wed, Oct 02, 2019 11:05 AM
X (pixels)  	Y (pixels)  
469.19	138.92
469.25	139.81
469.19	139.51
469.39	139.55
469.24	139.70
469.30	139.69
469.35	139.63
469.17	139.55
469.05	139.31
469.11	139.61
469.09	139.45
469.09	139.24
469.52	139.45
469.66	139.21
469.49	139.25
469.50	139.41
469.41	139.29
469.76	139.33
469.64	139.18
469.83	139.17
469.72	139.14
469.66	139.00
469.69	138.79
469.66	138.84
469.50	138.80
469.56	138.69
469.46	138.75
469.28	138.64
469.66	138.50
469.66	138.64
469.56	138.50
469.25	138.78
469.42	139.13
469.56	138.99
469.31	139.11
469.44	139.02
469.36	139.04
469.62	139.03
469.61	139.08
469.71	139.04
469.63	138.88
469.78	139.11
469.52	138.85
469.53	138.61
469.78	138.88
469.56	138.83
469.65	138.80
469.78	138.83
469.60	139.32
469.40	138.87
469.55	138.91
469.30	138.53
469.68	138.61
469.83	138.56
469.77	138.94
469.29	139.12
469.62	138.92
469.56	138.86
469.57	139.07
469.56	138.95
469.47	138.82
469.17	138.99
469.46	139.09
469.46	139.08
469.37	138.88
469.49	138.75
469.29	138.41
469.26	138.82
469.51	138.67
469.81	138.80
469.38	138.65
469.60	139.03
469.28	138.49
469.29	138.84
469.46	138.54
469.52	138.41
469.65	138.29
469.40	138.00
469.27	138.38
469.51	138.63
469.59	138.51
469.41	138.71
469.25	138.51
469.61	138.58
469.51	138.48
469.27	138.53
469.21	138.18
469.29	138.45
469.39	138.57
469.56	138.52
469.55	138.67
469.49	138.68
469.96	138.21
469.62	138.50
469.59	138.57
469.47	138.63
469.68	138.56
469.70	138.44
469.17	138.75
469.40	138.75
469.43	138.31
469.37	138.49
469.58	138.57
469.59	138.46
469.60	138.18
469.52	137.89
469.66	138.11
469.84	138.31
469.68	138.13
469.74	138.17
469.62	138.15
469.71	138.12
469.64	138.18
469.84	138.32
469.15	138.49
469.39	138.33
469.46	138.20
469.53	138.09
469.45	138.23
469.32	138.37
