Object Tracking Data File Wed, Oct 02, 2019 11:20 AM
X (pixels)  	Y (pixels)  
131.50	352.48
131.65	352.94
131.73	352.66
131.53	352.21
131.32	352.51
131.53	352.18
131.62	352.86
131.59	352.63
131.58	352.83
131.52	352.79
131.68	352.50
131.58	352.58
131.53	352.53
131.42	352.50
131.42	352.26
131.47	352.78
131.49	352.45
131.34	352.48
131.63	353.21
131.55	352.16
131.29	352.18
131.43	352.35
131.74	352.49
131.40	352.20
131.37	352.11
131.55	352.44
131.53	352.34
131.49	352.23
131.09	352.28
131.54	352.17
131.50	351.97
131.23	352.17
131.19	352.16
131.18	352.21
131.21	352.15
131.40	352.37
131.21	352.14
131.07	352.13
131.04	352.26
131.25	352.12
131.17	351.99
131.12	352.07
131.13	351.97
131.54	352.02
131.12	352.29
131.21	351.97
130.97	352.43
130.91	351.89
131.13	352.18
131.33	352.03
131.34	352.20
131.23	352.03
131.15	352.11
131.27	352.38
130.87	352.16
131.03	352.22
130.94	352.05
130.82	351.98
131.32	352.55
131.09	352.09
130.94	352.25
130.87	351.72
131.03	352.41
131.10	352.47
130.92	352.00
130.91	352.01
131.07	351.93
130.70	351.96
131.01	352.21
130.88	352.28
130.84	351.76
131.13	352.11
130.96	351.89
130.76	351.95
131.34	352.07
130.69	351.83
130.74	351.88
130.98	352.16
130.73	352.01
130.82	352.06
130.87	351.91
130.84	351.84
130.95	351.80
131.04	352.27
130.84	351.85
131.02	351.98
130.88	352.13
130.99	351.68
130.86	351.71
130.98	351.39
131.05	351.73
131.02	352.09
130.97	351.95
130.96	351.80
130.67	351.81
130.78	351.68
131.16	351.98
131.11	351.86
131.03	351.72
130.71	351.51
131.23	351.69
130.90	351.77
131.02	352.06
131.24	351.91
131.05	351.66
131.02	351.81
131.17	351.98
130.76	352.03
131.02	351.72
131.20	352.38
130.89	351.37
130.98	352.09
131.26	352.24
131.40	352.36
131.26	351.60
131.22	351.91
131.07	352.83
130.77	350.58
130.92	352.44
131.21	351.14
