Object Tracking Data File Wed, Oct 02, 2019 11:22 AM
X (pixels)  	Y (pixels)  
843.07	384.87
844.54	384.07
841.19	384.60
842.10	377.07
834.63	383.21
834.72	379.00
844.73	372.46
835.69	370.06
842.10	361.87
845.94	368.68
836.06	365.67
849.01	372.74
856.70	383.69
854.29	394.23
859.24	389.65
857.87	397.39
863.75	413.91
865.89	422.36
870.82	417.94
870.09	411.77
883.72	407.69
887.82	405.53
888.91	404.34
894.76	404.96
892.73	403.33
893.89	403.32
886.47	405.80
886.67	392.05
886.96	379.08
882.89	375.75
878.63	367.75
877.67	366.69
862.92	374.04
859.20	378.58
860.93	372.36
857.17	365.98
858.02	376.77
863.02	373.25
860.84	367.08
859.20	360.58
867.97	370.05
862.02	370.93
871.77	371.82
870.06	374.41
880.43	373.20
878.67	376.98
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
905.11	375.39
905.66	384.67
903.08	382.12
908.88	376.96
900.68	366.66
901.73	359.76
903.71	363.15
906.58	361.81
894.70	366.64
889.52	378.20
883.26	383.32
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
878.22	414.29
0.00	0.00
868.37	418.29
867.02	418.41
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
852.96	458.98
851.43	455.74
0.00	0.00
0.00	0.00
0.00	0.00
851.63	456.67
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
841.55	481.06
846.91	484.05
839.63	479.31
831.73	475.95
833.28	474.87
840.90	494.56
847.03	490.23
848.86	497.12
853.32	496.71
857.99	499.71
857.06	504.11
856.55	501.36
861.15	501.34
859.49	505.49
844.85	517.28
849.24	518.51
845.40	519.61
846.01	521.25
854.34	523.97
858.65	528.01
857.40	531.11
863.47	528.53
868.54	533.60
