Object Tracking Data File Wed, Oct 02, 2019 11:24 AM
X (pixels)  	Y (pixels)  
1210.88	396.45
1211.36	396.86
1211.42	396.41
1211.09	396.30
1211.64	397.21
1211.32	396.27
1211.23	396.81
1211.48	396.64
1211.46	396.77
1211.04	396.32
1211.34	396.12
1211.38	396.48
1211.19	396.64
1211.20	396.65
1211.25	396.50
1211.33	396.49
1211.10	396.47
1211.14	396.30
1211.24	396.79
1211.00	396.54
1210.91	396.07
1211.24	396.18
1211.00	396.60
1211.13	397.13
1211.11	396.45
1210.71	396.28
1211.01	396.23
1211.03	396.65
1210.87	396.35
1210.75	397.48
1210.79	396.00
1210.92	396.65
1211.05	396.61
1210.62	396.05
1211.10	396.58
1211.08	396.88
1210.94	396.41
1210.92	396.69
1210.64	396.49
1211.25	396.24
1210.92	395.86
1210.89	395.79
1211.01	396.37
1210.76	396.13
1210.87	396.13
1211.06	395.66
1210.74	396.49
1210.70	395.55
1210.64	395.56
1211.22	395.65
1211.18	395.78
1211.20	396.02
1211.27	395.79
1211.01	395.45
1210.87	395.17
1211.26	395.59
1211.19	396.63
1211.30	396.03
1211.14	395.52
1211.36	396.16
1211.16	395.43
1210.99	395.98
1211.36	395.88
1210.87	396.21
1210.99	395.40
1211.08	395.47
1210.88	395.94
1211.14	395.74
1211.02	395.90
1211.27	395.60
1211.21	395.85
1211.27	395.35
1211.10	396.19
1211.23	395.25
1211.21	395.79
1211.22	395.34
1211.11	395.62
1211.25	395.88
1211.01	395.57
1210.94	396.38
1211.09	395.67
1210.86	395.18
1211.20	395.67
1211.33	395.67
1211.44	395.91
1210.88	396.05
1210.97	395.34
1211.12	395.63
1211.66	395.66
1211.13	395.60
1211.15	395.88
1211.42	395.98
1211.59	396.11
1211.26	395.30
1211.62	395.74
1211.05	395.64
1211.56	395.37
1211.66	395.26
1211.49	395.33
1210.99	395.61
1211.22	395.76
1211.15	395.15
1210.89	395.45
1211.00	395.45
1211.16	395.61
1211.10	395.35
1210.70	394.94
1211.29	395.26
1211.08	395.27
1211.19	395.37
1211.45	395.30
1211.06	395.73
1211.39	395.90
1211.26	395.83
1211.10	395.00
1211.13	395.29
1211.22	397.23
1211.06	394.55
1211.19	396.45
1211.06	394.89
