Object Tracking Data File Wed, Oct 02, 2019 11:21 AM
X (pixels)  	Y (pixels)  
411.88	682.67
414.63	684.46
418.45	683.29
416.23	669.57
415.01	666.76
415.45	670.57
395.44	664.46
379.22	670.21
382.07	672.72
378.11	672.27
371.86	662.37
362.00	651.18
364.55	650.81
364.85	649.74
370.69	657.78
374.88	653.33
383.17	651.88
386.97	653.51
396.72	655.63
396.38	662.73
414.95	663.99
416.28	659.86
413.87	651.54
405.61	644.61
405.18	640.23
402.06	637.11
403.19	634.75
400.98	615.92
400.81	626.08
397.40	625.18
397.24	621.74
400.31	623.50
406.42	626.32
410.62	629.20
410.80	634.89
410.29	638.75
398.22	658.86
395.89	661.86
395.46	659.31
394.62	666.88
393.29	669.17
394.75	671.44
387.82	677.62
386.97	680.91
388.46	666.77
384.78	663.19
394.40	665.08
396.34	668.84
401.16	666.60
398.56	668.69
406.74	661.99
397.69	664.69
398.44	665.63
397.01	671.40
402.94	670.61
412.12	654.55
430.40	655.19
431.70	658.23
424.76	656.12
430.27	666.91
448.71	672.57
447.17	674.46
459.70	678.30
457.10	679.27
454.83	694.49
454.39	698.50
456.82	698.70
452.67	689.71
443.71	694.77
440.46	695.49
443.28	687.67
441.62	692.75
446.93	695.52
447.42	701.06
445.02	695.35
442.56	696.49
441.31	686.45
441.23	683.55
450.51	685.57
449.20	684.75
455.59	689.31
457.31	696.46
457.47	702.69
462.37	697.95
455.61	695.20
453.88	693.61
457.97	699.25
462.98	705.90
462.18	707.12
457.95	704.58
457.19	714.71
452.82	719.03
458.16	710.68
454.01	713.16
451.82	710.45
456.85	720.50
450.12	726.34
450.22	717.53
455.22	716.74
437.30	716.23
444.01	724.57
445.45	724.51
450.66	724.85
439.42	731.93
436.94	735.10
437.54	734.68
433.83	746.72
443.19	752.63
442.91	756.04
440.42	758.16
437.30	754.60
440.79	759.24
443.41	762.12
442.92	759.93
453.11	749.51
462.76	745.67
458.19	734.82
460.51	732.75
456.42	737.68
457.58	738.55
