Object Tracking Data File Wed, Oct 16, 2019 10:04 AM
X (pixels)  	Y (pixels)  
744.42	304.70
744.52	304.48
744.82	304.84
744.44	304.85
744.20	304.43
744.00	302.73
744.51	304.80
743.98	304.62
744.48	304.60
744.36	304.53
744.37	304.58
744.40	304.82
744.81	304.97
744.52	305.42
744.08	305.32
744.54	304.80
744.28	304.62
744.30	304.33
744.13	304.29
744.47	304.78
744.40	304.67
744.20	304.81
744.54	304.51
744.66	304.80
744.67	304.87
744.43	305.09
744.75	304.53
744.52	304.61
744.60	304.81
744.37	304.52
744.07	304.51
744.69	304.90
744.50	304.26
744.81	304.83
744.15	304.60
744.08	304.67
744.06	304.37
744.59	305.12
744.16	304.85
744.40	304.55
0.00	0.00
745.13	305.57
744.33	305.17
744.46	304.73
744.70	305.00
745.04	304.89
744.46	304.56
744.28	304.30
744.44	304.32
744.54	304.51
745.19	304.86
744.30	304.80
744.04	304.42
744.20	305.13
744.71	305.10
744.52	304.96
744.57	305.37
744.58	305.37
744.56	305.19
744.40	304.89
744.47	304.83
744.45	304.73
744.02	304.57
744.17	304.96
744.59	304.89
744.48	305.48
744.51	305.36
744.53	304.53
744.42	306.10
0.00	0.00
0.00	0.00
744.47	304.77
744.14	305.00
744.48	305.28
743.90	305.24
744.19	304.78
744.38	305.30
744.70	305.26
743.85	303.91
0.00	0.00
744.37	304.94
743.85	304.65
744.17	304.96
743.73	305.29
744.83	305.32
744.24	304.74
744.26	304.52
744.00	305.50
744.31	304.92
744.20	305.49
743.96	305.31
744.51	304.98
744.33	305.02
744.60	304.67
744.28	305.00
744.31	304.94
744.26	305.50
744.90	305.40
0.00	0.00
0.00	0.00
0.00	0.00
744.63	304.65
0.00	0.00
0.00	0.00
0.00	0.00
744.82	305.78
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
