Object Tracking Data File Wed, Oct 16, 2019 11:10 AM
X (pixels)  	Y (pixels)  
475.71	607.01
475.75	606.93
475.53	606.94
475.83	606.85
475.66	606.87
476.00	606.97
475.83	607.04
475.60	606.91
475.96	606.69
475.86	607.03
475.66	606.77
475.74	606.83
475.82	607.16
475.87	607.09
475.57	607.05
475.85	606.69
475.41	606.79
475.68	606.82
475.94	606.79
475.56	606.70
475.68	606.66
475.98	606.94
475.87	606.66
476.03	606.99
475.63	606.78
475.80	606.92
475.78	606.59
475.79	606.83
475.77	606.82
475.57	606.96
475.42	606.54
476.14	607.01
475.81	607.60
475.72	607.59
475.60	605.98
475.68	606.86
475.56	606.79
476.10	606.50
475.72	606.82
475.85	606.63
476.02	606.66
475.67	606.85
475.73	606.97
476.15	606.73
475.71	606.60
476.03	606.61
475.76	606.51
475.66	606.69
475.49	606.61
475.82	606.52
475.36	606.91
475.75	606.76
475.63	606.45
475.48	606.63
475.75	606.56
475.65	606.64
475.23	606.63
475.43	606.86
475.71	606.67
475.71	606.78
475.55	606.88
475.77	606.39
475.58	606.60
475.56	606.73
475.51	606.61
475.86	606.67
475.68	606.56
475.68	606.52
475.91	606.29
475.63	606.94
475.62	606.47
475.94	606.43
475.52	606.49
475.47	606.50
475.43	606.75
475.85	606.22
475.69	606.30
475.77	606.32
475.34	606.25
475.64	605.87
476.09	606.70
475.64	606.44
475.68	606.46
475.79	606.08
475.78	606.39
475.70	606.54
475.49	606.35
475.57	606.20
475.81	606.59
475.90	606.48
475.87	606.34
475.70	606.38
476.18	606.30
476.53	606.33
475.99	606.47
476.03	606.15
476.08	606.44
475.36	606.47
475.67	606.56
476.28	606.35
475.72	606.14
476.59	606.19
475.47	606.34
475.56	606.16
476.08	606.37
475.92	606.35
475.95	606.19
476.01	606.56
475.62	606.50
476.02	606.21
475.86	606.37
476.02	605.97
476.05	606.60
475.79	606.38
475.82	606.66
476.55	606.20
476.14	606.46
475.85	606.40
476.19	606.49
475.57	606.43
