Object Tracking Data File Wed, Oct 16, 2019 11:17 AM
X (pixels)  	Y (pixels)  
1071.64	29.81
1071.35	29.86
1071.66	29.69
1071.29	29.78
1071.57	29.63
1071.47	29.78
1071.40	29.85
1071.38	29.69
1071.34	29.79
1071.55	29.65
1071.42	29.69
1071.28	29.90
1071.50	29.88
1071.36	29.85
1071.47	29.77
1071.50	29.70
1071.45	29.71
1071.65	29.74
1071.56	29.61
1071.72	29.68
1071.68	29.62
1071.49	29.65
1071.24	29.73
1071.51	29.58
1071.65	29.56
1071.59	29.82
1071.43	29.54
1071.49	29.60
1071.29	29.78
1071.53	29.68
1071.46	29.39
1071.68	29.71
1071.76	30.55
1071.82	30.41
1071.23	28.78
1071.53	29.57
1071.68	29.43
1071.45	29.63
1071.76	29.73
1071.55	29.51
1071.34	29.55
1071.34	29.57
1071.36	29.54
1071.41	29.73
1071.44	29.35
1071.66	29.45
1071.48	29.56
1071.44	29.50
1071.76	29.34
1071.47	29.53
1071.56	29.67
1071.46	29.62
1071.37	29.63
1071.49	29.49
1071.23	29.48
1071.55	29.37
1071.57	29.59
1071.40	29.59
1071.60	29.58
1071.48	29.36
1071.40	29.62
1071.23	29.64
1071.33	29.45
1071.69	29.45
1071.38	29.32
1071.29	29.55
1071.48	29.28
1071.46	29.56
1071.45	29.47
1071.68	29.43
1071.42	29.26
1071.59	29.27
1071.54	29.57
1071.34	29.22
1071.70	29.65
1071.48	29.35
1071.57	29.32
1071.57	29.41
1071.76	29.22
1071.43	29.02
1071.72	29.69
1071.55	29.39
1071.47	29.35
1071.19	29.21
1071.65	29.20
1071.38	29.49
1071.44	29.22
1071.35	29.33
1071.50	29.40
1071.33	29.45
1071.57	29.26
1071.53	29.30
1071.32	29.33
1071.47	29.33
1071.62	29.45
1071.50	29.34
1071.33	29.33
1071.59	29.19
1071.81	29.45
1071.65	29.26
1071.32	29.26
1071.37	29.17
1071.48	29.22
1071.52	29.26
1071.36	29.15
1071.44	29.33
1071.51	29.35
1071.64	29.39
1071.53	29.37
1071.48	29.23
1071.09	29.41
1071.51	29.27
1071.55	29.72
1071.56	29.41
1071.59	29.56
1071.44	29.30
1071.75	29.45
1071.40	29.27
1071.72	29.35
1071.62	29.20
