Object Tracking Data File Wed, Oct 16, 2019 11:10 AM
X (pixels)  	Y (pixels)  
685.35	607.79
685.25	607.69
685.33	607.68
685.27	607.85
685.31	608.03
685.51	607.66
685.41	607.54
684.95	607.81
685.05	608.00
685.12	607.40
685.01	607.43
685.04	607.56
685.39	608.05
685.23	607.85
685.06	608.10
685.19	607.96
685.46	607.94
685.48	607.62
685.09	607.75
684.82	607.77
685.17	607.73
685.03	607.79
684.91	607.71
685.09	607.44
685.13	607.47
685.03	607.94
685.15	607.40
685.04	607.55
684.92	607.73
684.95	607.70
684.90	607.48
684.90	607.87
685.59	608.76
685.49	608.20
684.85	606.75
685.39	607.28
684.94	607.68
684.79	607.57
685.13	607.60
684.96	607.35
685.14	607.42
685.21	607.66
685.01	607.44
685.28	607.52
685.11	607.20
684.83	607.57
685.21	607.50
684.83	607.20
685.16	607.32
685.04	607.37
684.85	607.67
684.94	607.29
684.78	607.49
685.35	607.50
685.03	607.40
684.91	607.50
685.12	607.68
684.93	607.07
684.85	607.63
685.09	607.36
684.95	607.50
684.89	607.57
684.71	607.51
684.89	607.43
684.93	607.26
684.97	607.56
684.97	607.16
684.96	607.42
684.99	607.46
684.90	607.55
684.64	607.32
685.19	607.09
684.72	607.42
684.72	607.20
684.66	607.77
684.90	607.29
684.96	607.22
684.77	607.36
684.67	607.40
684.72	607.18
684.75	607.58
685.10	607.19
684.66	607.25
685.27	606.94
684.79	607.13
684.76	607.37
684.87	607.35
685.23	607.35
684.75	607.63
684.66	607.67
685.27	607.05
684.83	607.34
685.57	607.11
684.82	607.44
684.80	607.41
685.52	606.98
685.02	607.26
685.01	607.09
685.09	607.21
684.75	607.26
684.73	607.10
684.55	607.26
685.13	607.12
684.80	607.17
685.01	607.25
684.98	607.23
684.82	607.28
684.87	607.47
685.00	607.26
684.96	607.48
685.07	607.15
684.75	607.13
685.04	607.42
684.88	607.58
685.21	607.52
684.77	607.64
684.80	607.71
684.95	607.20
685.12	607.34
685.03	607.09
