Object Tracking Data File Wed, Oct 16, 2019 11:13 AM
X (pixels)  	Y (pixels)  
729.83	380.41
730.09	380.02
729.87	380.27
729.90	380.39
729.89	380.31
730.22	380.35
729.68	380.56
730.06	380.17
729.81	380.51
729.90	380.21
729.86	380.33
729.66	380.31
730.10	380.49
729.55	380.68
729.90	379.94
730.21	379.76
729.71	380.45
729.74	380.40
730.03	380.37
729.61	380.48
729.93	380.25
729.91	380.19
729.86	380.48
729.95	380.26
729.48	380.62
730.13	380.30
730.02	380.44
729.66	380.25
729.93	380.26
729.92	380.09
729.74	379.94
729.76	380.44
730.41	380.94
729.73	380.93
729.86	379.09
730.12	379.60
729.61	380.21
729.60	380.45
729.75	380.30
729.94	379.92
729.43	380.27
729.55	380.13
729.49	380.40
729.73	380.20
729.61	380.16
729.87	379.74
729.89	380.25
729.91	379.98
729.77	380.08
729.91	380.23
729.73	380.25
729.73	380.00
729.81	380.08
729.68	380.21
729.95	379.92
729.55	379.99
729.91	379.92
729.72	380.19
729.73	379.99
729.97	380.21
730.04	380.36
729.96	380.02
729.48	379.99
729.66	380.09
729.71	379.97
729.83	380.09
729.93	379.81
729.44	380.23
729.89	380.13
729.71	380.03
729.69	379.81
730.00	379.85
729.20	380.17
729.64	379.85
729.89	380.27
729.79	380.13
730.17	379.66
730.07	379.94
729.66	379.99
729.67	379.55
729.84	380.23
729.90	380.06
729.78	380.13
729.58	379.87
729.41	379.88
729.91	379.63
729.50	380.11
729.69	379.92
729.89	379.69
729.79	380.12
729.79	380.10
730.01	379.81
729.93	380.00
729.60	380.12
729.84	379.93
729.68	379.89
729.88	379.85
729.61	379.80
729.76	380.17
730.07	379.96
729.95	379.87
729.43	379.99
729.68	379.64
729.73	379.91
729.78	379.76
729.66	380.02
729.83	379.85
729.61	379.94
729.80	379.93
729.76	380.09
729.85	379.42
729.87	379.50
729.77	380.07
729.65	379.96
729.96	379.88
729.86	380.05
729.82	379.90
729.83	379.79
729.94	379.82
729.71	379.94
