Object Tracking Data File Wed, Oct 16, 2019 10:56 AM
X (pixels)  	Y (pixels)  
665.35	237.81
665.25	237.67
665.08	237.69
665.16	237.61
665.31	237.61
665.33	237.81
665.47	237.86
665.40	237.91
665.43	237.64
665.16	237.77
665.14	237.65
665.22	237.97
665.35	237.65
665.44	237.79
665.49	237.79
665.43	237.76
665.38	237.59
665.01	237.70
665.34	237.74
665.17	237.84
665.35	237.57
665.25	237.99
665.40	237.69
665.22	237.98
665.26	237.41
665.13	237.68
665.31	237.61
665.54	237.87
665.01	237.48
665.21	237.66
665.21	237.91
665.34	237.49
665.12	237.52
665.49	237.54
665.33	237.89
665.17	237.64
665.12	237.48
665.44	237.75
665.09	237.90
665.19	237.71
665.30	237.56
665.04	237.24
665.32	237.70
665.32	237.50
665.15	237.31
665.26	237.30
665.37	237.63
665.38	237.38
665.30	237.48
665.11	237.57
665.13	237.54
665.10	237.71
665.31	237.55
665.28	237.57
665.28	237.56
665.24	237.48
665.29	237.69
665.22	237.44
665.25	237.56
665.22	237.44
665.03	237.63
665.33	237.64
665.41	237.49
665.28	237.54
665.31	237.69
665.13	237.72
665.13	237.34
665.25	237.40
665.09	237.61
665.42	237.56
665.18	237.79
665.10	237.49
665.37	237.73
665.12	237.84
665.05	237.38
665.11	237.65
665.09	237.73
665.26	237.53
665.21	237.62
665.24	237.48
665.33	237.50
665.23	237.63
665.48	237.70
665.25	237.53
665.38	237.62
665.12	237.57
665.24	237.50
665.17	237.46
665.28	237.29
665.42	237.66
665.22	237.55
665.18	237.64
665.20	237.46
665.37	237.59
665.30	237.68
665.13	237.57
665.13	237.53
665.39	237.78
665.08	237.40
665.02	237.33
665.42	237.47
664.85	237.33
665.26	237.37
665.21	237.29
665.08	237.37
665.37	237.47
664.95	237.50
665.19	237.35
665.15	237.27
665.34	237.30
664.96	237.25
665.35	237.26
665.20	237.41
665.20	237.47
665.12	237.42
665.22	237.18
665.34	237.64
665.03	237.32
665.16	237.03
664.99	237.45
