Object Tracking Data File Wed, Oct 16, 2019 11:00 AM
X (pixels)  	Y (pixels)  
1099.68	348.86
1099.86	349.12
1099.85	348.96
1099.70	349.09
1099.79	349.12
1099.75	348.65
1099.86	349.14
1099.74	348.68
1099.88	348.95
1099.66	349.02
1099.83	349.03
1099.49	349.30
1099.80	349.01
1100.06	348.97
1099.35	349.07
1099.94	348.90
1099.90	349.40
1099.92	349.05
1099.58	349.45
1099.76	348.73
1099.77	348.94
1100.09	348.95
1099.98	349.06
1099.99	349.01
1099.69	348.83
1099.64	348.82
1099.78	348.90
1099.76	349.01
1099.50	349.01
1099.89	348.81
1099.70	348.78
1099.88	349.13
1099.68	348.95
1099.65	349.06
1099.92	349.13
1099.71	349.13
1099.81	348.87
1099.72	349.03
1099.63	349.32
1099.64	348.93
1099.58	348.92
1099.62	348.75
1099.73	348.87
1099.64	348.91
1099.49	348.58
1099.80	348.89
1099.70	348.55
1099.59	348.67
1099.82	348.82
1099.81	348.86
1099.93	348.86
1099.80	348.63
1099.93	348.73
1099.72	348.96
1099.70	348.93
1099.63	348.89
1099.71	348.75
1099.78	348.95
1099.86	348.77
1099.64	348.82
1099.61	348.82
1099.83	348.40
1099.74	348.57
1099.90	348.89
1099.82	348.96
1099.50	349.10
1099.70	348.86
1099.68	348.65
1099.64	348.83
1099.84	348.97
1099.66	348.96
1099.86	348.73
1099.61	348.71
1099.90	348.79
1100.01	348.54
1099.77	348.73
1099.64	349.11
1099.82	348.92
1099.49	349.35
1099.48	348.99
1099.87	349.21
1099.57	348.86
1099.96	349.09
1099.92	348.77
1099.77	348.83
1099.91	349.01
1099.82	348.81
1099.78	348.40
1099.86	348.76
1099.60	349.01
1099.65	349.03
1099.58	348.76
1099.68	348.58
1100.01	348.93
1099.70	348.86
1099.87	348.29
1099.62	349.04
1099.77	348.99
1099.68	348.44
1099.81	348.71
1099.68	348.74
1099.74	348.34
1099.68	348.35
1099.73	348.57
1099.57	348.69
1099.59	348.32
1099.78	348.55
1099.67	348.45
1099.93	348.72
1099.71	348.41
1099.97	348.78
1099.84	349.07
1099.92	348.91
1099.66	348.55
1099.64	348.84
1099.66	348.31
1099.86	348.58
1099.67	348.57
1099.74	348.36
1099.76	348.18
