Object Tracking Data File Wed, Oct 16, 2019 10:58 AM
X (pixels)  	Y (pixels)  
886.90	542.36
886.67	542.36
886.71	542.19
886.85	542.32
886.78	542.72
886.87	542.56
886.93	542.48
886.83	542.51
886.75	542.41
886.74	542.44
886.69	542.51
886.68	542.67
886.83	542.42
886.56	542.52
886.73	542.73
886.90	542.47
886.73	542.32
886.53	542.66
886.98	542.47
886.92	542.65
886.64	542.12
886.88	542.53
886.73	542.45
886.91	542.30
886.62	542.44
886.74	542.52
886.76	542.42
886.76	542.77
886.62	542.40
886.59	542.36
886.70	542.56
886.51	542.31
886.60	542.10
886.59	542.04
886.86	542.35
886.77	542.38
886.88	542.15
886.85	542.40
886.66	542.45
886.47	542.61
886.84	542.29
886.75	542.13
886.70	542.26
886.65	542.47
886.74	541.96
886.57	542.05
886.68	542.20
886.73	542.04
886.60	542.18
887.03	542.24
886.78	542.12
886.81	542.32
886.94	542.40
886.63	542.22
886.73	542.29
886.70	542.24
886.47	542.25
886.79	542.41
886.70	542.46
886.76	542.17
886.63	542.19
886.72	542.23
886.41	542.15
886.87	542.41
886.89	542.59
886.78	542.31
886.70	542.24
886.90	542.27
886.82	542.22
886.67	542.31
886.81	542.35
886.58	542.24
886.78	542.23
886.46	542.08
886.87	542.34
886.64	542.18
886.92	542.29
886.80	542.48
886.77	542.29
886.64	542.17
886.61	542.52
886.60	542.23
887.24	542.43
886.67	542.29
886.66	542.24
886.89	542.28
886.84	542.11
886.59	542.59
886.90	542.10
886.75	541.95
886.79	542.15
887.00	542.11
886.68	542.20
886.73	542.05
886.72	542.07
886.79	541.66
886.71	542.26
886.84	542.43
886.95	541.87
886.79	541.83
886.83	542.23
886.86	541.68
886.83	541.73
886.79	541.82
886.64	541.75
886.71	541.93
886.75	541.82
886.65	541.99
886.75	542.11
886.83	541.95
886.87	541.70
886.98	541.90
886.76	541.84
886.70	542.06
886.72	541.98
886.81	541.95
886.87	541.76
886.92	542.16
886.77	541.88
886.61	541.86
