Object Tracking Data File Wed, Oct 02, 2019 11:57 AM
X (pixels)  	Y (pixels)  
755.96	114.74
755.93	114.57
755.89	114.63
755.85	114.62
756.11	114.74
755.80	114.75
755.87	114.68
755.91	114.61
755.86	114.61
755.99	114.65
755.79	114.69
755.83	114.88
755.80	114.38
755.77	114.55
755.79	114.57
755.61	114.58
755.93	114.81
755.62	114.60
755.67	114.92
755.50	114.91
755.66	114.61
755.86	114.61
755.73	114.62
755.66	114.68
755.66	114.28
755.81	114.76
755.79	114.55
755.72	114.56
755.95	114.69
755.62	114.36
755.68	114.61
755.64	114.64
755.97	114.61
755.88	114.49
755.84	114.58
755.98	114.64
755.92	114.97
755.70	114.70
756.22	114.96
756.07	114.73
756.15	114.72
755.94	114.10
755.73	114.32
756.00	114.48
755.90	114.51
755.90	114.42
755.93	114.58
755.68	114.78
755.79	114.36
755.77	114.53
755.86	114.97
755.80	114.32
755.84	114.64
755.78	114.67
755.79	114.54
755.73	114.74
755.96	114.63
755.82	114.48
755.94	114.64
756.07	114.80
755.90	114.66
755.87	114.42
755.97	114.45
756.02	114.53
756.01	114.63
756.14	114.89
755.99	114.30
755.90	114.73
756.04	114.48
756.01	114.44
755.82	114.49
755.98	114.55
755.86	114.48
756.04	114.62
755.89	114.61
755.94	114.54
755.91	114.66
755.96	114.58
755.99	114.23
755.91	114.57
755.76	114.55
755.91	114.40
756.26	114.61
756.13	114.20
755.81	114.48
755.90	114.53
756.07	114.40
756.16	114.42
755.98	114.38
756.00	114.51
755.78	114.46
756.14	114.66
755.89	114.40
755.93	114.52
756.27	114.48
756.16	114.40
755.95	114.69
756.03	114.66
756.01	114.66
756.05	114.63
756.26	114.54
756.09	114.40
755.78	114.36
756.24	114.54
756.01	114.50
756.03	114.68
755.88	114.45
755.98	114.17
755.93	114.27
755.83	114.52
755.64	114.36
755.80	114.39
755.85	114.46
755.63	114.56
755.73	114.44
755.57	114.62
755.71	114.62
755.73	114.65
755.95	114.44
755.80	114.73
