Object Tracking Data File Wed, Oct 02, 2019 11:53 AM
X (pixels)  	Y (pixels)  
276.63	476.60
276.61	476.20
276.72	476.07
276.19	476.20
276.58	476.06
276.68	476.21
276.74	476.00
276.49	475.89
276.71	476.27
276.46	475.94
276.24	475.64
276.40	476.03
276.28	476.25
276.84	476.15
276.54	476.22
276.38	476.34
276.62	476.60
276.10	476.38
276.87	476.37
276.16	476.02
276.22	476.47
276.46	476.18
276.39	476.48
276.51	476.21
276.26	475.95
276.58	476.42
276.94	476.10
276.57	476.20
276.47	475.74
276.76	475.81
276.20	476.23
276.21	476.41
276.49	476.42
276.33	476.12
276.63	476.18
276.42	476.15
276.90	476.08
276.03	476.47
276.84	476.17
276.56	476.32
276.66	476.27
276.64	475.98
276.29	476.35
276.36	476.33
276.26	476.67
276.50	476.09
276.05	476.36
276.54	476.53
276.28	476.16
276.22	476.10
276.59	476.66
276.27	476.26
276.57	476.55
276.76	476.59
276.67	475.60
276.70	476.36
276.40	476.27
276.75	476.45
276.12	476.10
276.18	476.42
276.45	475.99
276.70	476.53
276.62	476.09
276.95	475.96
276.56	476.28
277.20	475.93
276.03	476.12
276.69	476.61
276.53	476.10
276.01	475.67
276.13	476.07
276.42	476.15
276.74	476.19
277.05	476.59
277.02	476.36
276.67	476.53
276.48	475.69
276.72	476.11
276.31	476.20
275.95	476.32
276.61	476.21
275.89	476.20
276.99	476.36
276.00	476.11
276.65	475.61
276.25	476.41
276.99	476.15
275.52	476.11
276.59	476.22
276.98	476.32
276.64	476.58
276.46	476.15
276.17	476.35
276.55	476.80
277.05	476.52
276.70	476.25
277.22	475.91
276.58	476.60
276.62	476.91
276.87	476.43
276.83	476.24
276.89	475.56
276.39	476.49
276.63	476.46
276.83	475.47
276.48	475.55
276.44	476.93
276.21	476.37
276.79	476.28
276.48	476.26
276.80	476.40
276.37	475.44
276.23	475.72
276.85	475.84
277.09	476.00
276.75	475.93
276.30	476.19
276.67	476.83
276.09	476.48
276.26	476.25
