Object Tracking Data File Wed, Oct 02, 2019 11:54 AM
X (pixels)  	Y (pixels)  
611.94	345.15
611.83	345.18
611.90	345.06
612.25	345.25
611.99	345.32
612.05	345.26
612.06	345.02
612.08	345.27
611.75	345.16
611.94	345.01
612.08	345.30
611.98	344.94
611.99	345.37
612.17	345.34
611.64	345.43
611.90	345.19
612.04	345.10
611.97	345.08
611.91	345.20
611.95	345.23
612.04	345.16
611.95	345.25
611.66	345.23
611.68	344.99
611.95	345.02
612.01	345.47
611.81	345.02
612.06	345.43
612.02	344.80
611.72	344.90
611.90	345.18
611.98	344.93
612.05	345.16
611.96	344.84
612.12	344.69
612.07	345.20
612.02	345.10
612.04	345.23
611.99	345.50
612.15	345.20
612.16	345.38
612.24	345.37
612.13	344.92
612.16	345.01
612.01	344.83
612.15	344.85
612.16	345.24
612.00	345.21
611.90	344.73
612.07	345.20
612.45	345.64
611.82	344.67
611.83	345.10
612.07	345.03
611.83	345.32
612.09	344.77
611.85	344.95
611.94	345.26
611.99	345.12
612.19	345.16
612.17	344.99
612.30	345.22
612.17	345.00
611.93	344.97
612.32	345.23
612.25	345.01
612.19	345.04
612.07	345.13
611.90	345.23
611.89	345.27
611.75	344.83
612.01	344.89
612.09	345.10
612.31	345.06
612.14	345.00
612.50	345.12
612.16	344.97
611.98	345.18
612.27	345.07
612.10	345.15
611.86	345.01
612.07	345.03
612.08	345.28
612.40	345.05
612.22	345.37
612.04	345.04
612.41	345.05
612.40	345.35
612.25	345.24
612.05	345.16
612.15	345.07
612.27	345.27
612.48	345.48
612.50	345.21
612.21	345.06
612.25	345.19
612.31	345.15
612.48	345.30
612.53	344.92
612.82	345.64
612.33	345.13
612.17	345.10
612.02	344.93
612.45	344.95
612.25	345.38
611.91	345.11
612.16	345.34
612.13	344.82
611.98	345.07
612.10	344.81
611.87	345.10
611.77	344.71
611.94	345.20
611.66	344.97
612.06	345.04
611.95	345.21
611.90	345.43
612.02	344.58
612.13	345.14
611.83	344.69
