Object Tracking Data File Wed, Oct 16, 2019 11:20 AM
X (pixels)  	Y (pixels)  
467.83	359.86
468.02	360.67
467.87	360.55
467.79	361.46
468.00	360.40
467.83	360.27
467.68	360.88
467.62	360.45
468.11	360.46
467.72	360.55
467.68	360.82
467.69	360.97
467.45	361.05
467.95	360.47
467.64	360.69
467.73	361.05
467.69	360.71
467.42	360.80
467.29	360.97
468.06	360.88
468.43	360.96
467.91	360.79
467.22	360.56
468.02	360.75
467.86	360.64
467.97	360.48
468.42	360.76
467.72	360.98
468.04	360.75
467.79	360.59
467.45	360.97
467.78	360.90
467.87	360.73
468.16	360.84
467.57	360.65
467.64	360.72
467.88	360.71
467.96	361.05
468.18	360.89
467.63	361.00
468.10	360.43
467.52	360.89
467.72	360.53
467.80	360.44
467.90	360.90
467.90	360.91
468.38	360.53
467.98	360.18
0.00	0.00
467.79	361.04
468.38	360.85
467.64	360.92
468.28	360.89
467.78	360.83
467.92	360.48
467.95	360.56
467.91	360.38
468.24	360.76
467.78	360.78
467.59	360.78
468.73	360.47
467.08	360.17
467.70	360.57
468.02	360.88
467.81	360.35
468.16	360.96
467.71	360.42
468.49	360.45
467.78	360.41
468.28	360.40
468.19	360.40
467.80	360.10
0.00	0.00
467.81	360.51
467.96	360.80
468.14	360.63
467.67	360.40
467.92	360.55
468.25	360.78
468.17	360.35
467.96	360.57
468.19	360.72
467.56	360.84
468.18	360.61
0.00	0.00
468.09	360.51
468.18	360.89
468.02	360.55
468.29	360.80
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
468.09	360.07
468.30	359.92
468.04	360.93
0.00	0.00
467.83	360.48
467.46	360.87
468.12	360.55
0.00	0.00
0.00	0.00
468.19	360.35
467.55	360.55
0.00	0.00
0.00	0.00
467.95	360.23
468.16	360.76
0.00	0.00
467.90	360.40
468.08	360.37
0.00	0.00
468.26	360.67
467.95	360.27
0.00	0.00
467.77	360.38
0.00	0.00
467.10	360.60
0.00	0.00
