Object Tracking Data File Wed, Oct 16, 2019 11:21 AM
X (pixels)  	Y (pixels)  
608.35	383.13
607.97	384.54
608.31	384.12
607.93	384.10
607.97	383.89
608.52	384.00
608.26	384.19
607.91	383.92
607.92	383.37
607.87	383.95
608.06	384.12
608.35	384.42
608.15	384.20
607.91	383.69
607.95	384.23
607.77	383.88
608.21	383.95
608.02	384.24
607.69	383.59
608.08	384.10
607.77	384.00
608.03	383.99
607.57	383.42
607.84	383.89
607.92	384.00
607.83	383.66
608.09	383.63
608.41	384.71
608.06	383.53
607.83	383.30
608.10	383.68
608.17	384.49
607.99	383.56
607.80	383.17
608.00	383.55
608.18	384.02
608.10	383.88
607.80	383.63
607.66	384.20
607.84	383.67
607.88	383.42
607.85	383.72
608.09	383.89
607.61	383.68
607.82	383.45
607.34	383.97
607.88	383.52
607.76	383.50
607.42	384.27
607.85	383.06
607.51	383.51
607.94	384.05
607.40	384.14
607.88	384.09
607.81	383.31
607.31	383.58
607.52	383.37
607.86	383.94
607.74	383.36
607.15	382.73
608.12	383.82
607.76	383.79
607.19	383.21
608.42	383.71
607.75	383.96
608.04	383.80
607.78	383.66
607.61	383.55
608.16	383.75
607.52	383.59
607.89	384.04
608.10	383.94
608.24	383.72
607.80	384.11
607.61	383.93
607.50	383.68
608.12	383.42
607.77	383.93
607.50	383.38
607.78	383.25
608.01	383.61
607.23	383.41
607.50	383.98
607.47	383.79
607.51	383.76
607.52	383.48
608.10	383.47
606.98	383.77
607.68	383.89
607.26	383.61
607.60	383.32
607.93	383.60
607.72	383.87
607.47	383.67
607.35	383.49
608.35	383.72
608.00	383.24
607.98	382.67
607.91	384.09
607.34	383.48
607.65	384.11
607.74	383.86
607.86	383.75
607.88	383.29
607.86	383.82
607.87	383.67
607.72	384.00
607.97	384.24
608.06	383.38
607.64	383.84
607.92	384.25
608.12	383.77
607.80	383.57
607.64	383.90
608.07	384.23
607.53	383.67
607.51	383.10
607.62	382.98
607.58	384.00
607.48	384.11
