Object Tracking Data File Wed, Oct 16, 2019 11:19 AM
X (pixels)  	Y (pixels)  
91.06	415.85
91.64	415.91
91.14	415.91
91.36	416.60
91.36	415.40
91.37	415.84
91.39	415.70
91.85	415.05
91.49	416.16
91.55	415.70
91.17	415.76
91.32	415.45
91.64	416.77
91.16	415.40
91.49	415.84
91.19	415.79
91.82	415.04
91.57	415.35
91.38	416.07
90.90	415.60
0.00	0.00
91.50	415.24
0.00	0.00
91.57	415.17
91.47	415.24
91.42	416.79
91.16	415.81
91.45	415.53
91.64	415.00
91.63	415.38
91.46	415.63
91.47	415.04
91.02	415.08
91.28	415.44
91.67	415.42
0.00	0.00
91.10	415.35
90.83	415.27
91.65	415.33
91.37	414.30
91.51	415.31
91.35	415.12
91.21	415.56
90.96	415.35
91.50	415.71
0.00	0.00
91.43	415.41
91.64	415.16
0.00	0.00
0.00	0.00
91.44	415.36
91.79	415.37
91.86	415.20
91.36	415.62
91.45	415.00
91.75	415.02
91.57	415.15
0.00	0.00
91.78	415.43
0.00	0.00
91.23	416.30
91.77	414.98
91.46	415.07
0.00	0.00
0.00	0.00
0.00	0.00
91.06	415.45
91.33	415.40
91.77	414.65
0.00	0.00
0.00	0.00
0.00	0.00
91.00	415.17
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
91.21	414.81
91.42	415.33
91.30	415.36
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
91.07	415.26
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
