Object Tracking Data File Wed, Oct 16, 2019 11:22 AM
X (pixels)  	Y (pixels)  
1115.00	385.20
1111.80	388.20
1116.91	383.53
1122.42	385.01
1133.68	387.84
1136.01	389.37
1136.13	390.01
1140.88	392.47
1146.81	396.04
1143.86	398.47
1142.99	396.51
1146.12	398.52
1142.69	402.28
1141.62	400.10
1141.59	403.79
1148.35	401.07
1151.41	401.23
1150.96	402.02
1149.41	399.74
1144.68	404.90
1148.99	407.93
1141.26	408.40
1141.51	412.24
1142.93	413.65
1144.50	411.61
1143.46	412.39
1143.80	414.82
1138.61	423.27
1141.97	427.28
1140.63	426.07
1146.03	427.75
1146.35	430.00
1146.05	436.98
1145.59	433.28
1146.75	433.75
1145.42	430.12
1144.38	436.16
1145.16	434.88
1153.05	431.89
1151.78	429.64
1149.28	426.27
1157.50	426.94
1160.69	429.36
1163.13	426.76
1165.02	425.44
1164.61	426.39
1162.01	430.58
1160.41	430.61
1161.62	428.23
1159.89	424.95
1163.28	424.76
1161.77	427.73
1165.24	436.76
1165.02	440.57
1162.04	436.05
1161.56	433.61
1163.10	439.42
1159.77	441.45
1156.50	442.93
1156.56	440.96
1157.17	442.63
1158.03	447.97
1161.47	444.04
1164.69	442.63
1161.65	446.84
1160.14	446.08
1159.36	443.84
1163.41	444.11
1161.92	443.54
1159.24	443.88
1164.73	447.74
1162.92	445.10
1160.69	441.90
1157.63	442.11
1153.14	440.88
1152.70	439.69
1152.05	439.17
1151.46	437.85
1152.94	442.97
1151.96	442.28
1149.60	441.64
1150.01	438.51
1148.99	439.02
1149.30	439.69
1148.65	440.44
1143.14	440.69
1145.94	443.87
1146.48	444.56
1146.61	444.20
1146.51	444.89
1147.27	445.51
1147.06	445.06
1146.78	445.62
1146.92	444.92
1146.96	444.77
1147.26	444.62
1147.16	444.76
1146.65	445.02
1146.65	445.19
1146.95	445.33
1146.92	444.88
1147.14	445.19
1147.00	445.87
1147.04	444.60
1146.97	445.32
1146.43	445.20
1146.49	445.50
1146.96	444.59
1147.20	445.61
1147.66	444.95
1146.97	445.72
1146.55	445.61
1147.08	445.11
1146.97	445.30
1147.16	445.62
1146.99	444.85
1147.16	445.19
1147.19	445.48
1147.33	445.55
1147.14	445.03
