Object Tracking Data File Wed, Oct 02, 2019 10:19 AM
X (pixels)  	Y (pixels)  
452.99	365.83
449.02	363.60
446.30	363.81
442.87	363.70
444.46	362.92
440.19	358.99
439.00	369.01
443.42	375.11
448.53	376.94
444.99	375.53
446.72	372.20
447.20	374.11
443.16	377.44
443.61	371.51
436.78	367.56
430.29	361.34
416.08	366.14
418.93	366.04
423.60	363.74
423.32	365.45
424.00	361.84
422.67	365.35
425.24	364.47
430.16	368.08
429.67	363.19
426.78	361.90
422.39	362.08
427.05	368.92
429.11	368.79
426.94	369.29
428.81	367.22
428.44	367.74
439.83	378.20
446.02	378.05
446.05	378.92
440.17	385.31
448.58	382.91
445.20	381.70
449.99	382.34
446.16	385.81
444.75	393.59
436.78	391.83
439.40	393.92
433.98	390.87
435.85	390.67
444.27	386.80
442.18	389.59
444.87	388.76
446.54	397.83
456.01	406.60
456.53	408.85
450.14	411.02
457.30	413.50
456.43	419.16
461.42	417.17
460.99	421.50
455.86	419.01
457.93	409.40
461.51	408.79
461.90	408.59
457.31	407.20
460.00	405.94
460.74	409.73
465.57	410.76
468.51	411.74
471.79	410.14
476.34	417.04
479.26	416.88
481.46	414.91
482.61	419.92
495.14	418.36
494.99	419.41
496.00	414.55
493.42	409.04
492.63	413.35
490.55	407.80
488.44	407.34
485.99	405.12
495.67	403.71
488.82	406.30
490.22	411.92
491.78	408.37
490.77	405.82
487.45	401.84
481.65	399.49
486.01	401.29
486.47	398.12
480.07	393.94
475.31	394.86
475.33	401.35
477.41	403.19
474.96	401.75
476.69	403.89
482.50	400.60
473.71	398.03
473.44	400.93
473.63	399.22
473.68	406.22
468.18	401.93
465.86	401.95
460.98	394.70
460.83	397.84
463.25	392.02
462.26	392.87
457.56	383.15
457.02	371.02
458.84	377.05
461.56	384.10
462.82	384.38
464.61	386.14
465.76	388.59
472.08	385.16
476.84	384.14
472.00	381.26
457.45	374.85
456.70	379.88
454.15	380.06
459.50	373.58
458.12	376.58
457.96	376.49
