Object Tracking Data File Wed, Oct 02, 2019 10:36 AM
X (pixels)  	Y (pixels)  
517.75	111.86
517.58	111.42
517.61	111.13
518.08	112.12
517.81	111.02
517.44	111.28
517.98	111.60
517.78	111.46
518.02	111.25
518.10	111.81
517.65	111.31
518.02	111.44
517.92	111.71
518.01	111.31
517.81	111.35
517.46	111.07
517.74	111.20
517.89	111.88
518.19	111.59
518.23	112.15
518.08	111.70
517.94	111.53
517.81	111.81
518.00	111.71
518.07	110.80
518.04	111.78
517.72	111.40
517.88	111.68
517.84	111.92
517.77	111.76
517.90	111.82
517.75	111.58
517.66	111.65
517.89	111.86
517.63	111.07
517.95	110.89
518.02	111.20
518.02	111.10
517.87	111.78
518.08	111.88
518.03	111.58
517.89	111.84
518.00	112.24
517.87	112.01
518.02	111.68
517.97	111.91
517.96	111.66
518.16	111.95
518.03	111.59
517.91	111.84
517.88	112.02
517.89	112.26
517.99	112.33
517.91	111.63
518.16	112.51
517.99	112.01
518.22	112.35
518.35	112.03
518.28	111.75
517.92	111.75
517.98	111.70
518.00	111.74
518.31	111.75
518.01	111.79
518.07	111.82
517.90	111.87
517.98	111.50
518.13	111.99
517.95	111.88
517.88	112.10
517.96	112.02
518.15	112.21
518.17	112.26
518.05	112.19
518.14	112.45
517.87	112.10
518.12	112.20
518.10	112.15
518.00	112.13
518.01	111.83
518.20	112.38
518.03	112.00
518.10	112.14
518.06	111.93
518.16	111.93
518.06	112.19
517.93	111.84
517.87	112.02
517.79	111.92
517.87	111.87
517.96	111.73
517.97	112.22
517.97	111.91
518.06	111.84
518.10	112.05
517.74	111.72
518.01	112.00
517.97	111.76
518.26	112.17
518.02	112.25
517.96	111.98
517.96	112.30
518.10	111.97
518.05	112.22
517.98	112.25
517.78	112.14
517.86	112.11
518.31	112.56
517.72	111.95
517.96	112.11
517.79	112.06
518.01	112.40
518.03	112.13
518.49	112.46
518.34	112.39
518.07	112.07
518.07	112.00
517.90	112.05
517.96	112.06
517.99	112.19
