Object Tracking Data File Wed, Oct 02, 2019 10:34 AM
X (pixels)  	Y (pixels)  
207.71	285.29
208.78	285.82
208.76	285.95
209.56	285.95
208.92	286.32
209.32	285.47
209.24	285.66
209.76	286.57
208.40	287.57
209.49	285.40
209.67	285.32
209.57	286.82
208.59	285.91
208.79	286.07
209.23	287.28
208.25	286.76
208.60	285.51
208.40	286.61
207.80	285.83
208.18	286.91
208.84	287.04
208.94	286.25
208.37	286.88
208.28	287.13
208.35	286.91
209.30	286.77
209.05	288.08
208.43	287.87
208.06	287.67
208.77	287.05
207.67	286.45
207.67	286.74
240.54	244.15
208.94	283.97
208.33	286.28
209.64	285.75
208.99	286.51
208.58	287.53
237.66	245.60
205.72	284.99
208.10	285.22
208.67	287.44
209.28	287.03
208.50	287.26
236.76	246.34
209.23	283.37
209.32	286.52
242.38	245.84
238.65	244.77
207.45	283.76
209.16	287.01
208.28	287.37
244.73	243.98
206.61	284.08
208.87	288.80
208.83	287.56
235.75	245.59
207.00	283.43
206.15	287.41
207.18	288.48
241.37	247.83
236.79	246.16
206.89	284.51
207.63	289.93
208.83	288.25
236.46	246.36
209.32	285.09
207.94	290.71
238.71	252.53
239.89	244.09
239.71	244.80
204.82	285.16
206.79	287.85
207.05	288.87
208.04	289.55
237.39	245.31
207.43	284.75
206.90	288.21
206.91	284.70
207.49	288.37
237.61	245.88
240.37	242.35
206.69	283.60
239.86	244.57
209.36	282.37
208.81	286.96
205.55	288.30
238.17	244.13
208.63	283.46
208.43	288.55
231.42	251.61
207.59	290.89
212.12	293.77
210.66	295.27
208.53	295.18
209.51	289.18
215.40	292.23
219.59	295.68
228.06	300.01
265.67	250.16
263.32	251.06
269.48	258.25
224.85	297.99
222.43	298.36
216.90	296.76
220.24	298.08
222.11	297.03
222.62	299.30
226.69	297.74
262.87	256.73
228.98	292.50
227.94	295.80
231.64	295.56
234.07	296.83
279.02	256.76
233.94	292.44
232.70	296.35
235.84	298.93
234.63	299.47
278.05	253.83
