Object Tracking Data File Wed, Oct 02, 2019 10:33 AM
X (pixels)  	Y (pixels)  
541.70	361.38
541.29	361.23
541.59	361.21
541.73	362.27
541.67	360.95
541.61	361.43
541.51	361.77
542.05	361.49
541.61	361.29
541.71	361.50
541.60	361.38
541.46	361.31
541.74	361.55
541.64	361.67
541.29	361.55
541.44	361.41
541.34	361.22
541.42	361.61
541.39	361.27
541.59	361.61
541.68	361.78
541.86	361.38
541.42	361.23
541.50	361.32
541.37	361.33
541.22	361.50
541.67	361.42
541.57	361.54
541.70	361.34
541.54	361.41
541.90	361.86
541.54	361.36
541.85	361.41
541.48	361.95
541.33	361.17
541.69	361.02
541.27	361.39
541.63	361.27
541.46	361.37
541.85	361.53
541.80	361.79
541.08	361.76
542.20	362.08
541.48	361.67
541.56	361.71
541.17	360.99
541.36	361.56
541.74	361.59
541.45	361.79
541.81	361.58
541.97	361.84
541.85	362.35
541.77	362.13
542.03	361.97
541.94	362.07
541.48	362.09
541.97	361.83
541.65	361.64
542.19	361.83
542.07	361.98
541.63	361.46
541.81	361.33
542.19	361.67
541.81	361.93
541.65	361.34
541.92	361.70
541.94	361.57
541.89	361.73
541.95	362.12
541.68	361.84
541.75	362.13
541.62	362.02
541.67	362.27
541.95	362.02
542.15	362.36
541.56	362.01
542.07	361.78
541.57	361.99
541.23	362.03
541.99	362.04
542.01	361.81
541.61	361.28
541.77	361.72
541.94	361.97
542.06	362.02
541.53	361.67
541.68	361.59
541.84	362.03
542.02	362.20
541.74	361.83
541.81	361.73
541.87	362.29
541.76	361.99
541.60	361.83
541.92	362.26
542.06	362.03
541.73	362.43
541.81	362.26
541.87	362.09
541.96	361.86
542.20	362.35
541.46	362.01
541.70	361.75
541.92	362.21
541.71	362.20
541.92	362.11
542.09	362.15
541.64	362.17
541.93	362.12
541.96	362.53
541.92	362.40
542.12	362.27
542.10	362.27
542.06	362.05
541.61	362.52
541.56	361.86
541.98	362.06
541.87	361.96
542.03	362.54
541.77	362.23
