Object Tracking Data File Wed, Oct 02, 2019 10:35 AM
X (pixels)  	Y (pixels)  
736.54	35.82
731.60	26.99
730.45	21.60
730.86	18.20
732.05	15.46
728.56	16.08
730.26	14.67
730.98	14.61
731.52	18.29
733.16	16.77
734.72	18.20
739.18	18.30
746.43	17.73
740.55	19.78
740.58	22.52
740.03	25.99
737.85	25.65
740.76	21.34
744.08	25.26
747.46	21.43
748.32	25.54
753.14	29.91
753.01	26.96
756.45	24.82
754.25	24.49
752.35	28.04
754.54	29.25
755.08	29.85
753.14	31.39
753.47	26.02
755.16	27.17
752.13	33.08
747.87	34.38
744.14	36.93
744.49	38.69
745.24	36.83
745.00	42.52
745.12	44.87
749.12	38.48
751.29	40.69
750.69	39.13
754.22	37.13
759.89	37.15
753.14	37.76
748.68	35.74
754.03	44.69
755.10	43.96
757.98	45.37
764.68	43.76
767.37	42.25
769.95	40.51
769.43	41.42
769.77	39.55
774.73	38.13
774.01	40.12
779.66	43.33
770.96	40.39
769.60	42.40
775.42	42.76
778.54	41.83
773.77	46.27
777.67	44.03
778.53	42.36
774.73	49.93
770.07	49.33
766.16	49.40
765.38	48.00
764.70	51.20
767.37	48.53
772.67	45.60
770.65	47.21
770.48	47.77
767.63	43.63
765.51	47.17
769.29	49.97
767.55	47.40
767.85	45.04
770.37	46.37
774.57	44.22
774.65	43.11
777.23	46.17
779.55	52.13
780.24	55.63
780.39	50.82
780.38	50.65
778.09	50.87
773.35	53.41
774.49	55.53
787.14	46.77
793.38	47.16
794.29	42.84
793.28	38.77
802.21	35.97
801.45	38.67
798.11	35.19
798.14	37.56
793.22	37.09
794.26	41.98
802.20	36.08
805.27	46.86
812.11	48.32
806.11	56.17
814.12	58.92
819.91	58.39
818.30	68.63
818.36	73.00
811.79	77.89
814.59	83.35
819.67	89.27
819.80	95.14
819.80	94.66
827.75	85.17
827.09	87.29
827.32	93.28
834.01	104.77
834.56	112.90
830.99	114.04
830.58	129.32
839.64	133.21
835.09	137.59
