Object Tracking Data File Wed, Oct 02, 2019 10:32 AM
X (pixels)  	Y (pixels)  
267.42	617.96
266.86	618.13
266.92	617.40
267.33	618.70
267.16	617.49
267.31	618.00
267.23	617.77
267.25	618.00
267.55	618.10
267.18	617.99
267.14	617.93
266.95	617.86
267.22	617.92
266.76	617.91
267.09	617.51
267.04	617.93
267.09	617.63
267.32	617.64
267.25	617.99
267.16	617.88
267.09	618.10
267.24	617.59
266.92	618.02
267.07	617.96
266.93	617.59
267.22	617.94
267.24	618.01
267.36	618.08
267.31	618.08
267.33	617.90
267.13	618.13
267.34	617.86
267.08	618.28
267.03	618.32
267.04	617.31
266.82	617.47
267.44	618.09
266.91	617.39
267.25	618.26
267.23	618.20
267.23	618.17
267.34	618.04
267.43	617.89
267.27	618.22
267.29	617.83
267.52	617.92
267.23	618.03
267.55	618.45
267.39	618.31
267.31	618.03
267.47	618.17
267.02	618.31
267.53	618.49
267.50	618.03
267.63	619.03
267.11	617.76
267.48	618.23
267.34	617.85
267.60	618.05
267.41	618.15
267.51	617.76
267.22	617.95
267.53	617.64
267.31	618.33
267.46	618.11
267.55	618.27
267.18	617.88
267.24	617.80
267.57	618.09
267.39	618.32
267.66	618.12
267.47	617.80
267.38	617.99
267.37	618.56
267.67	618.38
267.64	618.05
267.37	618.07
267.49	618.53
267.67	618.08
267.03	618.37
267.31	618.18
267.34	618.08
267.39	618.18
267.54	618.45
267.51	618.34
267.50	618.45
267.48	618.25
267.40	618.01
267.47	618.10
267.51	617.95
267.62	618.23
267.47	618.62
267.23	618.38
267.32	618.39
267.39	618.33
267.60	618.49
267.25	618.09
267.06	618.48
267.61	618.67
267.34	618.64
267.61	618.23
267.32	618.21
267.36	618.58
267.54	618.91
267.13	618.48
267.34	618.43
267.54	618.32
267.46	618.53
267.77	618.65
266.97	618.34
267.36	618.10
267.44	618.83
267.36	618.85
267.44	618.74
267.40	618.95
267.39	618.86
267.24	618.51
267.37	618.83
267.53	618.82
267.73	618.34
