Object Tracking Data File Wed, Oct 02, 2019 10:50 AM
X (pixels)  	Y (pixels)  
467.08	479.87
456.53	484.24
448.78	478.22
448.70	478.85
444.43	478.86
452.90	466.99
454.23	471.07
448.80	472.73
450.97	477.81
451.29	473.18
450.52	478.14
449.11	476.45
456.61	483.83
454.33	494.44
454.97	495.10
453.14	494.07
460.33	485.15
463.63	479.97
458.32	474.12
471.19	474.64
470.39	486.61
471.91	490.38
464.63	488.00
462.45	495.44
468.54	509.49
469.19	506.91
477.41	504.59
480.29	509.61
471.68	495.34
471.53	493.89
479.77	503.44
475.95	510.17
478.90	499.20
478.42	497.21
475.90	504.85
479.70	518.56
493.14	529.35
492.72	526.71
494.60	525.76
494.10	526.52
490.02	520.60
490.31	525.49
492.76	522.54
500.59	519.61
498.69	499.78
494.48	499.42
494.76	505.18
494.48	501.77
440.50	446.02
446.47	452.69
441.54	464.48
452.23	468.01
511.11	480.24
589.45	405.64
592.30	399.83
596.67	403.89
611.37	414.25
612.71	416.07
616.23	421.29
620.35	424.10
606.85	422.15
605.07	422.45
608.33	424.98
615.60	426.02
629.50	435.15
629.35	431.65
623.39	428.65
616.49	425.31
639.18	428.93
641.62	431.09
638.97	437.98
632.96	444.79
623.98	443.06
618.95	447.23
620.90	448.31
625.03	455.31
623.72	468.27
628.10	468.86
625.23	473.53
630.74	472.08
626.44	462.70
629.35	454.66
624.68	462.45
623.53	463.17
631.74	468.64
632.45	470.23
630.47	472.17
627.50	465.98
634.49	476.81
632.53	475.81
637.40	479.77
630.11	488.38
627.61	487.64
625.19	490.22
631.42	490.98
635.20	484.95
630.37	498.36
645.25	512.61
648.61	523.12
637.26	531.59
639.76	531.58
638.89	533.20
629.00	524.70
628.59	524.39
628.56	524.60
628.57	524.45
628.69	524.00
628.33	523.68
628.72	524.76
628.26	524.04
628.50	524.38
628.32	524.31
628.12	524.07
628.14	524.17
628.02	524.16
628.21	524.58
627.86	524.23
628.22	524.58
628.84	524.23
628.31	524.40
