Object Tracking Data File Wed, Oct 16, 2019 11:03 AM
X (pixels)  	Y (pixels)  
244.84	425.42
244.66	424.80
244.71	424.49
244.77	424.82
244.83	425.04
244.95	424.05
244.82	424.76
244.90	424.90
244.84	424.72
244.96	425.43
244.92	424.51
244.80	424.20
244.90	424.46
244.92	424.51
245.07	424.38
244.62	424.34
245.00	425.23
244.82	424.56
244.92	424.80
244.86	424.85
244.87	424.85
245.08	424.62
244.80	424.66
244.89	424.73
244.74	424.56
244.77	424.69
245.06	424.74
244.93	424.76
244.89	424.73
244.86	424.71
245.00	424.63
244.74	424.44
244.94	424.63
244.85	425.03
244.80	424.84
244.99	425.10
244.89	424.76
244.62	424.12
245.08	424.48
244.89	424.46
244.60	424.15
244.80	423.98
244.90	424.72
245.05	424.50
244.90	424.96
244.74	424.82
244.96	425.12
244.66	423.99
245.64	427.30
244.71	424.84
245.12	425.80
245.13	425.17
245.05	424.48
244.72	423.62
245.16	425.46
244.91	425.09
246.79	431.97
244.46	423.07
0.00	0.00
0.00	0.00
246.72	432.68
244.78	422.47
250.72	451.67
244.93	425.36
245.24	424.41
246.46	432.21
244.86	424.19
244.83	424.52
244.92	425.40
245.01	424.48
245.17	425.10
244.77	424.80
244.50	424.55
245.07	424.17
244.97	423.69
244.92	424.30
245.50	425.13
244.90	424.86
244.93	424.44
245.14	424.65
245.03	423.58
245.01	423.67
245.31	424.54
246.40	428.79
246.17	430.21
244.89	424.04
244.81	424.83
245.27	424.57
245.03	424.15
245.02	424.31
244.94	423.83
244.95	424.61
244.52	424.15
245.07	424.69
245.18	424.56
244.59	425.43
244.68	424.53
244.88	424.74
245.06	424.20
245.12	424.31
245.19	424.52
244.92	424.16
244.97	424.31
244.93	424.47
245.14	424.26
244.73	424.29
244.92	424.23
245.06	424.23
245.12	424.25
244.83	424.32
245.01	424.15
245.13	424.32
244.91	424.61
244.85	424.28
244.83	424.21
244.83	424.29
244.86	423.78
245.03	424.17
245.24	424.27
245.25	424.33
