Object Tracking Data File Wed, Oct 16, 2019 11:05 AM
X (pixels)  	Y (pixels)  
397.76	229.73
403.37	226.81
403.30	225.61
402.09	230.68
399.54	227.39
400.74	229.77
396.50	227.70
397.54	226.78
400.29	231.87
400.35	239.58
396.78	235.51
391.66	231.29
385.40	227.27
384.37	227.93
386.32	222.02
385.20	223.82
383.67	225.86
391.61	229.18
393.47	225.02
394.23	225.46
396.50	225.50
395.34	227.49
397.78	227.23
399.80	227.58
400.84	225.09
395.39	227.64
395.69	225.39
399.29	226.37
396.18	225.03
400.42	219.92
397.05	222.31
395.21	222.85
390.57	228.49
392.83	229.29
393.80	227.30
397.02	224.13
396.86	225.20
397.78	222.62
397.92	222.95
396.99	225.42
396.65	223.06
398.70	223.14
405.26	228.04
401.73	228.90
398.23	229.60
394.63	229.85
393.94	227.92
395.82	233.60
400.72	240.70
405.30	238.52
404.07	241.49
405.28	241.74
405.92	243.27
403.40	238.49
404.66	244.98
402.04	242.82
403.94	247.46
402.83	239.87
0.00	0.00
0.00	0.00
411.09	252.74
407.27	246.41
414.85	271.80
412.31	247.69
413.28	246.96
414.80	258.09
414.25	249.40
409.00	246.37
406.84	244.17
411.45	243.26
410.23	246.48
417.83	243.28
422.28	246.48
420.60	249.01
423.11	248.24
414.56	252.89
415.00	254.94
415.39	255.10
412.71	256.53
411.03	254.42
409.34	249.40
406.05	244.24
403.87	246.30
406.61	254.48
410.93	256.93
411.09	249.41
411.94	249.30
411.93	249.34
412.77	249.79
412.74	249.32
413.27	249.27
413.43	249.85
413.21	249.57
413.35	250.11
413.43	249.85
415.02	251.13
413.57	250.07
413.59	249.77
413.21	249.69
413.30	249.78
413.48	249.80
413.24	249.69
413.42	249.66
413.18	249.44
413.38	249.60
413.10	249.56
413.77	249.55
413.21	249.59
413.39	249.73
413.46	249.55
413.38	249.77
413.58	249.69
413.47	249.74
413.45	249.74
413.21	249.85
413.58	249.55
413.29	249.91
413.46	249.84
413.11	249.70
413.35	249.69
