Object Tracking Data File Wed, Oct 16, 2019 11:06 AM
X (pixels)  	Y (pixels)  
622.09	369.99
621.98	369.85
622.13	369.78
622.23	369.98
621.98	370.03
621.99	369.44
622.21	369.89
622.25	369.57
621.92	369.63
622.47	370.49
622.13	369.76
622.13	369.18
622.31	369.47
622.10	369.78
622.36	369.41
622.03	369.52
622.15	370.14
622.20	369.58
622.23	369.84
622.10	369.72
622.14	369.73
622.15	369.77
622.15	369.78
622.25	369.63
622.16	369.57
622.14	369.54
622.14	369.60
622.43	369.88
622.21	369.87
621.99	369.78
622.29	369.64
622.29	369.89
621.85	369.65
622.40	370.27
622.42	370.16
622.68	369.97
622.22	369.81
622.20	369.33
622.05	369.59
622.16	369.63
621.90	369.37
622.10	369.11
622.10	369.77
621.94	369.78
622.27	370.04
622.09	369.77
622.31	370.29
622.01	369.20
622.47	372.05
622.23	369.83
622.42	370.61
622.33	370.08
621.96	369.72
621.94	368.93
622.36	370.78
622.30	370.23
623.59	377.85
621.91	368.06
0.00	0.00
0.00	0.00
623.72	378.35
621.74	368.00
627.28	397.13
622.28	370.23
622.05	369.54
623.74	378.10
621.90	369.32
622.06	369.80
622.15	370.19
622.11	369.70
622.27	370.04
622.35	370.16
622.05	369.38
622.00	369.45
622.12	368.85
621.86	369.71
621.94	370.30
622.30	369.59
622.22	369.62
622.36	369.87
621.91	368.98
622.06	369.22
622.15	369.83
622.67	373.25
623.15	375.28
622.09	369.43
622.22	369.77
622.12	369.68
622.13	369.61
622.09	369.59
622.20	369.02
622.21	369.58
622.07	369.41
622.44	369.71
622.30	369.55
622.67	370.43
622.18	369.62
622.25	369.60
622.28	369.24
622.29	369.52
622.10	369.64
622.20	369.64
622.33	369.35
622.03	369.51
622.11	369.48
622.35	369.49
622.16	369.58
622.18	369.55
622.12	369.47
622.12	369.27
622.10	369.41
622.31	369.50
622.36	369.60
622.18	369.33
622.02	369.50
622.02	369.53
622.14	369.40
622.10	369.51
622.06	369.60
622.01	369.61
