Object Tracking Data File Wed, Oct 16, 2019 11:07 AM
X (pixels)  	Y (pixels)  
975.48	523.11
975.27	522.45
975.08	522.51
975.34	522.67
975.09	522.82
975.18	522.04
975.42	522.65
975.03	522.64
975.32	522.51
975.39	523.24
975.35	522.37
974.97	522.14
975.33	522.34
975.44	522.42
974.99	522.17
975.54	522.27
975.45	522.94
975.38	522.35
975.42	522.73
975.19	522.75
975.39	522.65
975.14	522.40
975.61	522.21
975.76	522.57
975.55	522.49
975.24	522.44
975.40	522.47
975.58	522.99
975.58	522.55
975.54	522.66
975.39	522.60
975.21	522.57
975.66	522.31
975.33	523.04
975.58	522.92
975.66	522.87
975.28	522.40
975.33	522.22
975.38	522.31
975.21	522.42
975.47	521.95
975.20	521.82
975.45	522.92
975.16	522.61
975.67	522.67
975.69	522.08
975.47	523.31
975.07	521.74
975.89	525.02
975.33	522.84
975.71	523.74
975.61	523.02
975.44	522.28
975.23	521.39
975.79	523.80
975.34	523.09
976.77	530.92
975.29	520.89
0.00	0.00
0.00	0.00
977.21	531.05
974.94	520.83
0.00	0.00
975.80	523.09
975.66	522.52
976.66	530.01
974.86	521.95
975.47	522.34
975.32	523.01
975.29	522.35
975.52	522.69
975.50	522.86
975.41	522.30
975.33	522.19
975.41	521.75
975.41	522.37
975.59	523.13
975.25	522.55
975.60	522.25
975.40	522.84
975.28	521.87
975.50	521.72
975.79	522.31
0.00	0.00
976.40	528.36
975.58	521.61
975.43	522.61
975.22	522.50
975.34	522.29
975.87	522.06
975.37	521.66
975.76	522.32
975.39	521.99
975.72	522.54
975.78	522.29
976.20	524.32
975.23	522.05
975.81	522.53
975.07	521.76
975.47	522.31
975.71	522.22
975.43	522.10
975.31	521.97
975.74	522.33
975.51	522.21
975.34	522.23
975.48	522.24
975.45	521.97
975.48	522.46
975.47	522.00
975.62	522.05
975.53	522.14
975.57	522.31
975.59	522.32
975.24	522.04
975.52	522.07
975.44	522.01
975.21	522.50
975.42	522.10
975.44	521.94
