Object Tracking Data File Wed, Oct 16, 2019 10:51 AM
X (pixels)  	Y (pixels)  
561.86	336.82
561.69	336.72
562.03	337.03
562.21	337.14
562.16	336.64
561.65	336.66
562.08	336.77
561.95	337.25
561.91	336.70
561.95	336.80
561.70	336.70
562.41	336.67
561.63	336.92
561.82	336.48
562.18	337.01
562.23	336.69
562.08	336.54
561.76	336.86
561.84	336.85
561.80	336.62
562.45	338.37
562.64	338.41
561.92	336.14
561.90	337.04
562.10	336.99
562.68	339.11
561.70	336.54
561.90	336.78
561.82	336.74
561.78	336.24
561.83	336.68
562.26	337.11
561.73	336.61
561.67	336.38
562.15	336.51
562.00	336.67
561.75	337.02
561.79	336.46
561.90	336.77
567.50	370.67
569.14	377.27
569.47	377.74
568.78	375.37
568.56	374.29
568.45	374.59
568.37	373.76
568.29	373.77
568.06	372.68
567.60	369.11
566.67	364.95
566.63	364.61
566.81	364.80
566.41	362.36
566.11	360.56
565.52	357.00
564.89	354.07
564.71	351.80
564.78	351.84
564.53	351.67
564.72	351.55
564.05	350.62
564.60	350.86
564.35	349.36
563.97	349.32
563.97	349.30
564.07	349.54
563.80	347.44
563.51	344.66
566.57	365.54
566.55	362.63
566.13	362.47
566.03	361.88
566.18	361.98
565.97	362.16
566.11	361.88
566.09	361.72
566.07	361.48
566.23	361.95
566.12	361.04
566.11	361.06
566.30	361.05
565.96	360.98
560.77	333.35
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
636.21	370.61
639.91	384.48
645.95	414.80
646.74	421.17
648.66	433.51
649.59	437.54
649.46	437.10
649.62	437.68
650.45	440.30
652.11	451.28
652.60	454.06
653.38	456.53
653.23	455.90
653.49	458.26
653.80	459.44
