Object Tracking Data File Wed, Oct 16, 2019 10:34 AM
X (pixels)  	Y (pixels)  
699.39	353.82
706.06	345.40
708.88	343.45
709.22	344.36
708.61	345.33
710.09	345.42
719.16	343.98
720.68	345.45
719.01	345.07
722.18	338.08
718.57	339.81
717.73	340.62
716.66	340.83
711.84	340.38
717.37	338.51
717.58	338.30
717.20	338.75
715.19	337.51
714.14	343.01
711.98	340.56
714.53	339.70
709.55	339.65
712.11	342.07
722.93	344.15
726.36	343.18
731.49	341.27
735.94	335.71
736.05	333.26
738.52	326.83
731.11	320.14
727.99	322.57
729.36	322.21
733.95	320.55
735.62	318.66
734.70	324.27
737.69	327.57
739.64	333.30
738.60	328.93
742.84	323.07
748.56	322.35
745.85	320.97
744.69	317.96
738.05	317.52
733.69	313.01
740.66	316.52
736.64	322.68
734.22	319.71
727.66	319.49
727.63	321.15
723.05	318.20
719.88	320.11
716.96	320.57
714.57	312.58
717.19	311.88
714.05	308.34
710.83	308.99
709.05	305.63
711.24	305.59
712.29	302.47
706.33	301.48
706.37	299.46
705.04	301.28
700.64	297.45
706.63	298.63
702.51	301.59
695.86	301.60
696.54	301.07
695.61	297.34
694.15	298.37
694.55	293.17
689.27	293.64
686.24	298.16
693.11	293.55
691.16	298.70
689.13	300.17
687.54	299.56
681.49	304.19
683.18	302.98
683.13	298.69
679.23	297.54
673.47	298.09
670.87	295.73
674.21	294.07
673.84	293.16
672.75	292.32
674.10	292.51
673.58	292.56
677.04	296.40
680.10	298.03
675.21	307.78
679.77	308.29
679.45	310.12
674.59	311.56
678.77	308.66
676.23	311.16
676.76	313.34
677.26	321.25
682.57	327.16
689.04	324.62
693.85	328.59
689.70	326.25
686.38	324.46
686.94	326.10
687.16	327.73
689.67	328.16
683.76	331.24
685.57	339.06
690.28	346.47
694.00	340.53
695.33	340.26
696.16	339.08
694.03	340.70
700.69	343.11
704.13	340.60
701.30	346.47
706.11	344.83
709.21	339.35
708.04	339.10
706.56	336.03
709.94	335.07
