Object Tracking Data File Wed, Oct 16, 2019 10:30 AM
X (pixels)  	Y (pixels)  
537.27	310.14
537.39	309.56
537.22	309.39
537.38	309.68
537.34	309.71
537.30	309.32
537.17	309.72
537.15	309.54
537.07	309.01
537.67	310.03
537.36	309.91
537.54	309.95
537.58	309.74
537.87	310.52
537.34	309.72
537.40	309.46
537.53	309.35
537.09	309.50
537.14	309.10
537.58	309.77
537.27	309.74
537.53	309.78
537.28	309.68
537.15	309.82
537.61	309.42
537.32	309.52
537.29	309.74
537.29	309.59
537.51	309.86
537.68	309.48
537.56	309.82
537.51	310.07
537.41	310.25
537.19	309.80
537.46	310.06
537.53	310.16
537.37	309.67
537.30	310.32
537.39	309.79
537.11	309.95
537.42	309.34
536.99	309.84
537.00	309.49
537.37	309.55
537.41	309.77
537.56	310.10
537.25	309.82
537.54	309.55
537.52	310.01
537.42	309.88
537.27	309.74
537.27	309.95
537.14	309.62
537.32	309.39
537.25	309.94
537.29	309.61
537.33	309.36
537.54	309.46
537.66	309.61
537.49	309.41
537.44	309.62
537.35	309.85
537.46	309.68
537.32	309.49
537.35	309.84
537.59	309.61
537.50	309.67
537.61	309.60
537.61	309.68
537.66	309.74
537.57	309.81
537.44	309.91
537.53	309.95
537.37	309.72
537.51	309.69
537.17	309.31
537.43	309.72
537.39	309.60
537.48	309.35
537.23	309.49
536.87	309.34
537.35	309.52
537.43	309.49
537.17	309.77
536.87	309.46
537.37	309.27
537.53	309.61
537.22	309.96
537.44	309.56
537.37	309.46
537.43	309.57
537.61	309.51
537.00	309.55
537.29	309.37
537.18	309.76
537.22	309.83
537.27	309.28
537.34	309.69
537.46	309.43
537.20	309.30
537.39	309.62
537.07	309.73
537.49	309.52
537.26	308.90
537.07	310.02
537.70	309.54
537.06	309.14
537.06	309.87
537.33	309.10
537.58	309.50
537.38	309.94
537.59	309.41
537.22	309.24
537.52	309.52
537.50	309.48
537.26	309.75
536.73	309.02
536.99	309.12
537.12	309.06
537.71	309.22
