Object Tracking Data File Wed, Oct 02, 2019 11:33 AM
X (pixels)  	Y (pixels)  
786.81	238.30
786.25	239.71
779.86	242.50
777.47	252.83
775.83	249.50
774.57	248.02
772.35	247.90
776.89	255.87
764.87	255.52
759.12	258.21
758.65	255.18
758.87	256.90
751.74	255.18
752.53	258.98
753.64	264.42
768.22	265.90
771.33	266.39
769.05	266.09
777.45	274.63
779.44	271.93
784.10	279.90
785.57	284.74
789.12	283.98
792.83	284.31
786.68	290.21
789.37	291.82
791.60	297.67
782.60	301.83
784.49	311.07
784.90	312.25
790.73	321.64
788.71	322.08
797.40	319.15
793.66	314.33
782.42	315.62
787.35	314.04
787.87	309.84
781.90	315.54
777.05	311.44
774.77	304.53
772.92	296.15
771.47	304.12
773.94	299.34
779.60	305.63
784.19	309.18
784.75	307.72
789.42	304.24
789.06	307.73
779.41	317.62
779.67	318.39
778.79	322.90
782.62	322.50
775.21	335.55
774.39	335.79
774.06	333.22
760.35	338.35
760.28	341.71
762.56	345.68
759.06	354.04
760.12	357.74
760.21	354.71
763.33	353.07
756.00	356.17
755.72	367.46
745.55	370.18
745.90	370.87
749.04	362.21
752.85	358.44
751.86	355.26
751.02	353.93
750.30	360.56
757.39	358.67
753.89	364.22
757.13	360.12
748.63	350.56
745.29	354.18
740.64	360.42
745.65	364.48
743.54	374.15
745.63	371.30
753.51	376.37
747.16	379.66
752.32	380.86
755.98	376.64
774.98	379.72
774.57	385.38
775.04	392.01
778.05	395.75
780.74	400.86
778.07	398.64
779.13	401.02
786.90	404.47
790.17	407.71
783.31	396.12
784.47	397.43
790.18	396.17
793.35	396.01
793.69	397.87
788.45	401.62
790.75	397.62
798.99	398.63
795.49	402.78
792.81	399.49
792.81	405.73
788.97	412.86
789.54	412.36
785.38	421.95
784.68	421.00
790.46	416.11
784.92	415.01
787.06	419.13
790.34	425.56
798.05	428.81
797.40	430.46
794.10	433.28
800.81	435.69
800.82	442.24
807.02	436.60
810.87	440.68
803.10	451.96
