Object Tracking Data File Wed, Oct 02, 2019 11:32 AM
X (pixels)  	Y (pixels)  
364.54	177.90
364.20	178.79
362.46	176.78
369.18	177.92
351.27	190.09
339.91	195.96
340.23	203.61
346.79	204.22
346.16	208.18
340.77	204.44
344.20	192.01
341.61	192.77
347.40	191.89
348.86	193.71
353.01	199.81
353.91	204.74
370.71	214.65
371.26	213.52
377.99	221.85
376.99	233.56
375.66	244.66
376.99	248.15
377.12	254.49
380.76	259.53
400.13	250.41
400.74	257.55
407.24	258.22
398.49	261.93
381.62	269.32
378.08	272.63
379.81	266.02
371.93	257.46
383.70	252.57
379.63	254.12
382.32	247.57
384.57	248.01
373.33	237.37
368.30	238.37
367.89	247.96
354.88	255.04
350.02	257.08
349.32	260.16
339.42	257.29
335.62	267.31
355.16	259.50
346.22	257.49
354.14	253.26
354.91	252.82
361.74	254.63
363.19	255.72
357.56	254.10
363.72	254.16
361.49	257.03
359.90	257.39
360.31	265.91
354.28	264.60
365.01	274.50
370.14	278.84
365.80	275.88
360.03	279.33
354.70	292.30
358.86	290.06
369.31	283.19
363.30	272.13
364.86	278.79
361.03	284.07
377.10	301.99
382.67	308.78
371.26	319.45
365.81	320.71
369.29	332.56
372.90	330.64
361.55	326.48
359.02	326.33
355.95	322.09
358.26	317.84
363.37	320.97
371.70	323.10
376.67	326.66
397.46	331.29
403.81	344.90
402.19	342.51
388.40	360.31
380.44	361.87
376.39	359.45
372.72	360.32
358.24	357.19
361.31	358.00
347.16	365.28
345.61	377.49
342.33	375.87
342.56	363.61
361.09	363.24
360.52	367.38
355.13	369.99
361.13	376.42
367.19	372.03
384.12	380.50
385.32	368.48
380.96	370.94
395.31	377.69
395.43	385.06
395.59	390.12
401.34	397.18
405.40	403.92
403.00	400.12
413.38	396.31
415.21	399.20
418.80	394.41
414.91	389.73
411.16	376.00
410.37	371.70
407.56	377.82
409.96	386.72
426.39	385.11
432.12	392.81
437.05	385.58
436.86	381.43
438.60	388.28
436.25	389.60
