Object Tracking Data File Wed, Oct 02, 2019 11:36 AM
X (pixels)  	Y (pixels)  
806.48	596.29
807.85	597.80
806.36	597.55
809.26	597.50
809.31	597.93
807.60	596.35
806.84	596.39
806.66	596.39
808.98	596.18
810.01	596.36
808.47	597.59
808.54	596.63
807.71	596.07
808.79	596.00
807.49	597.58
807.39	597.48
808.43	595.45
808.81	597.52
808.08	595.22
807.71	596.59
808.26	596.30
808.44	595.30
808.94	596.40
810.07	596.72
809.78	595.34
808.59	596.33
808.57	596.97
809.40	597.07
809.08	596.63
809.17	593.14
808.21	595.55
805.89	597.43
807.70	596.59
808.08	595.01
808.43	597.10
806.45	597.14
807.79	595.24
807.94	597.95
808.32	597.06
807.21	599.14
806.42	596.54
807.12	593.29
807.59	597.72
806.74	595.91
807.24	596.29
807.20	596.71
806.34	595.62
806.45	597.10
805.24	596.73
806.32	596.88
806.72	596.81
806.01	598.08
807.90	596.70
805.63	596.79
806.94	597.32
806.71	596.17
807.18	597.57
807.00	597.78
806.45	595.82
807.02	596.12
806.73	598.34
807.28	597.41
806.53	597.47
807.32	596.69
805.09	596.90
807.59	594.48
806.97	595.60
806.03	595.83
806.54	597.66
806.46	596.08
807.86	597.31
804.39	596.84
805.46	594.33
807.10	596.25
806.74	595.09
805.71	597.31
807.14	595.51
806.78	593.72
805.30	597.58
805.52	596.63
806.97	597.16
805.09	593.76
805.55	597.83
806.46	594.04
805.78	596.95
805.02	597.05
806.73	597.46
805.61	597.27
805.85	596.77
805.37	598.05
805.78	595.84
805.91	596.50
806.41	595.93
805.03	597.10
804.73	597.92
807.03	597.34
805.93	595.91
805.40	595.92
805.38	598.07
805.86	596.72
805.68	598.26
805.84	597.31
804.47	596.38
805.61	597.34
804.55	595.26
805.35	597.75
805.63	596.91
805.48	596.34
806.88	595.34
805.91	596.68
805.36	597.49
806.34	597.09
805.53	593.74
805.64	596.13
806.49	595.67
807.09	597.58
807.25	596.70
805.96	597.58
806.02	596.59
806.00	596.54
