Object Tracking Data File Wed, Oct 02, 2019 11:31 AM
X (pixels)  	Y (pixels)  
170.14	291.71
168.06	298.41
164.48	301.07
177.71	316.51
177.01	322.32
181.93	322.02
186.36	330.83
192.30	337.36
188.15	325.93
187.84	324.07
189.12	318.91
177.95	317.00
190.01	316.48
201.25	322.12
195.18	322.40
189.33	324.56
178.83	332.18
182.43	336.14
183.00	329.11
187.81	329.09
188.66	328.07
189.90	325.25
195.57	317.59
201.73	314.24
205.58	315.97
200.05	311.32
197.27	307.69
191.96	304.12
189.59	302.67
186.21	304.11
183.96	308.78
184.95	314.36
184.03	309.80
181.40	311.97
179.68	312.09
171.68	320.35
170.96	313.57
177.69	308.84
173.38	309.25
0.00	0.00
174.38	306.79
179.16	303.89
174.15	299.75
166.44	299.15
163.05	303.89
161.27	303.35
151.18	305.54
140.68	301.62
155.48	297.67
158.16	298.82
155.88	301.42
162.97	297.03
164.83	291.94
162.64	298.22
158.02	290.85
167.66	288.46
162.54	277.29
157.75	274.73
154.34	268.99
161.32	269.05
155.63	273.93
157.21	276.62
152.48	289.98
153.37	278.58
157.44	275.44
156.12	279.48
165.02	277.37
170.96	279.90
175.92	285.31
179.68	282.86
175.15	281.52
183.71	284.59
179.31	289.38
180.81	285.69
181.02	293.50
174.95	306.68
166.97	304.12
164.40	306.93
161.91	311.53
153.24	308.87
156.22	309.43
159.82	313.26
159.69	314.10
164.24	311.92
163.89	312.19
166.79	311.14
166.93	298.63
167.86	300.12
167.84	298.47
178.61	310.05
182.35	314.45
185.25	314.87
182.41	307.14
178.20	323.20
184.30	323.52
176.98	313.41
177.37	306.15
172.96	323.84
171.53	316.76
180.80	319.37
187.00	314.37
183.73	315.29
186.11	307.04
183.87	302.94
189.37	315.31
188.69	314.94
197.66	313.78
200.89	315.89
203.39	322.65
204.52	320.69
203.67	325.79
210.00	330.50
233.39	327.32
238.48	334.61
251.70	346.02
253.20	347.75
277.30	351.59
278.15	358.28
269.08	366.48
0.00	0.00
