Object Tracking Data File Wed, Oct 02, 2019 11:34 AM
X (pixels)  	Y (pixels)  
879.24	134.11
883.62	135.95
887.81	139.03
885.82	138.83
888.72	136.72
885.86	135.23
883.60	131.67
887.90	135.51
894.24	135.02
894.98	134.15
905.26	144.51
903.83	142.12
894.75	148.71
893.61	149.69
901.45	140.99
896.91	133.29
891.20	133.84
886.10	136.13
890.38	146.19
886.79	154.39
879.85	156.86
883.50	162.14
895.61	164.72
906.56	162.80
916.96	182.28
918.53	178.11
927.80	180.22
929.00	176.85
925.16	184.62
928.61	186.85
932.28	184.50
939.03	169.29
949.31	194.03
951.77	190.37
946.97	187.41
945.86	184.42
941.81	182.34
936.12	179.99
939.34	185.58
944.91	186.38
952.85	189.73
954.49	192.16
949.64	195.42
959.75	190.28
957.22	196.97
958.56	201.30
949.30	195.73
955.29	187.65
944.59	191.08
947.42	183.66
958.65	184.28
956.30	185.73
969.74	177.54
972.55	173.76
972.95	182.68
964.44	183.30
968.17	200.07
969.94	204.09
968.61	204.27
967.69	203.43
978.38	208.82
980.31	205.17
984.99	207.49
980.05	215.98
988.56	219.18
992.52	217.89
988.82	219.11
984.18	216.59
976.64	220.79
972.28	224.42
972.22	226.31
975.10	236.64
988.43	240.50
991.93	240.42
986.36	247.98
989.50	247.24
1002.83	256.11
1003.99	257.12
1006.17	262.96
1003.94	266.18
990.72	270.24
989.16	279.12
989.45	286.26
994.00	289.81
969.41	288.67
964.18	288.86
970.73	303.67
976.34	310.38
989.75	315.30
990.79	318.01
992.08	317.53
991.07	336.76
985.08	338.49
986.37	355.04
995.19	361.98
987.83	356.98
986.34	353.18
1000.77	368.68
1007.95	362.83
1011.28	366.80
1006.36	380.16
1008.28	386.58
999.55	391.32
995.95	400.61
999.00	419.00
993.10	414.55
1001.79	417.08
995.18	416.74
992.56	422.10
1003.01	421.89
1004.27	415.94
1003.18	415.72
1001.88	434.58
995.64	437.79
1000.83	441.84
1008.93	448.81
1010.36	453.65
1016.91	462.32
1019.17	474.02
1014.80	478.27
