Object Tracking Data File Wed, Oct 16, 2019 10:47 AM
X (pixels)  	Y (pixels)  
569.26	467.20
0.00	0.00
568.14	462.63
569.40	467.52
569.01	467.04
569.37	467.20
569.82	467.27
569.80	467.30
568.91	466.98
569.74	467.38
569.57	467.27
569.20	467.30
569.52	467.08
569.39	466.79
569.22	467.28
569.50	467.20
569.64	467.31
569.77	467.40
569.47	466.91
569.41	466.99
570.18	467.40
569.44	466.87
569.52	467.29
569.20	466.78
569.61	467.56
569.52	467.22
569.44	466.60
569.80	467.18
569.65	466.91
569.37	467.04
569.65	467.24
569.42	467.14
569.51	467.01
569.40	467.02
569.47	466.88
569.16	466.83
569.60	467.63
569.55	466.58
569.60	466.86
569.53	467.18
569.79	467.25
569.56	467.25
569.26	466.91
569.60	466.93
569.68	467.29
569.12	466.56
569.26	467.03
569.54	467.39
569.50	467.07
569.76	467.47
569.54	467.24
569.91	467.20
569.78	467.19
569.66	467.23
569.91	467.33
569.23	467.38
569.64	466.98
569.53	467.03
570.06	467.25
569.39	466.71
569.25	467.29
569.92	467.20
569.61	467.02
569.27	467.15
569.01	466.49
569.60	466.71
569.54	467.04
569.52	467.22
569.06	467.17
569.53	467.15
569.06	466.99
569.46	466.83
569.40	467.06
569.14	466.80
569.47	467.12
569.22	467.26
569.41	466.73
569.23	466.58
569.41	467.05
569.35	466.95
569.57	467.67
569.36	466.90
569.13	466.83
569.57	467.07
568.91	465.97
569.48	466.22
569.74	466.95
569.37	466.86
569.45	466.54
569.98	467.37
569.38	466.72
569.68	467.39
569.42	466.91
569.66	467.17
569.58	466.99
569.40	466.80
569.01	466.58
569.38	466.84
569.71	467.09
569.40	466.61
569.54	467.06
569.67	466.77
569.54	466.76
569.64	466.99
569.24	466.38
569.45	466.94
569.27	466.54
568.94	466.34
568.85	466.44
569.54	467.05
568.85	466.52
569.95	466.80
569.54	466.66
569.72	466.75
569.11	466.33
569.97	467.12
569.92	466.95
569.28	466.49
570.05	467.05
569.59	466.64
