Object Tracking Data File Wed, Oct 16, 2019 10:47 AM
X (pixels)  	Y (pixels)  
715.71	226.47
0.00	0.00
714.61	221.44
715.91	226.60
715.83	226.80
716.01	226.49
715.85	226.45
715.77	226.41
715.77	226.10
715.72	226.23
715.85	226.62
716.06	226.49
716.08	226.39
715.63	226.03
715.70	225.91
715.80	226.46
716.06	226.45
715.80	225.88
715.80	226.13
716.14	225.93
716.17	226.34
715.90	225.96
716.01	226.04
715.49	225.93
715.61	226.21
715.60	226.19
715.40	225.87
716.29	226.16
715.40	225.50
715.63	226.19
715.68	226.07
715.89	226.24
715.63	226.07
715.27	225.80
715.42	225.54
715.84	225.74
715.57	226.06
715.47	226.15
716.00	226.13
715.54	226.05
715.58	225.86
715.46	226.18
715.60	226.23
715.68	226.01
715.96	226.09
715.70	225.87
715.46	225.77
715.31	225.29
715.47	225.96
715.48	225.94
715.90	225.93
715.36	225.50
715.93	226.25
715.61	225.87
715.86	226.35
715.40	225.90
715.49	225.63
716.20	226.04
715.70	226.12
716.01	226.47
715.36	225.83
715.81	226.10
715.54	226.25
715.53	226.01
715.55	226.06
715.87	226.08
715.49	225.84
716.02	226.21
715.66	225.73
715.47	225.72
715.46	225.62
715.66	226.07
715.88	226.24
715.46	225.39
715.68	226.15
715.62	225.98
715.77	226.26
715.68	225.61
715.73	226.02
715.91	226.25
715.76	225.84
715.55	225.94
715.62	226.42
715.55	225.63
715.44	225.13
715.11	225.12
715.03	225.53
715.67	225.85
715.44	225.52
715.34	226.12
715.16	225.45
715.64	225.83
715.74	225.87
715.48	225.76
715.59	225.86
715.77	225.85
715.39	225.87
715.70	225.26
715.75	225.77
715.20	225.23
715.57	225.86
715.39	225.21
715.72	225.53
715.24	225.58
715.50	225.91
715.47	225.74
715.44	225.54
715.75	225.38
715.54	225.39
715.65	225.86
715.84	225.36
715.71	225.80
715.37	225.83
715.62	225.90
715.69	225.67
715.41	225.46
715.68	226.12
715.30	225.40
715.47	225.67
715.45	225.36
